id,code,major,sub,detail,description,account_type,tax_category,parent_code,status,created_at
150,mhb:tax:baird,mhb,tax,baird,Property Taxes for Baird,expense,property,,active,2025-11-09 23:43:10.525063
151,mhb:utility:electric:905brown,mhb,utility,electric:905brown,Electric bill 905 Brown,expense,property,,active,2025-11-09 23:43:10.525063
152,mhb:utility:gas:905brown,mhb,utility,gas:905brown,Gas bill 905 Brown ,expense,property,,active,2025-11-09 23:43:10.525063
153,mhb:utility:gas:baird,mhb,utility,gas:baird,Gas bill Baird,expense,property,,active,2025-11-09 23:43:10.525063
154,mhb:utility:water:905brown,mhb,utility,water:905brown,Water Bill 905 Brown,expense,property,,active,2025-11-09 23:43:10.525063
156,mhb:water heater:711pine-02,mhb,water heater,711pine-02,Water Heater Replace/Repair 711 Pine Unit 02,expense,property,,active,2025-11-09 23:43:10.525063
184,per:utility:electric:parnell,utility,electric,1108parnell,Electric bill for Parnell,expense,,,active,2025-11-09 23:43:10.525063
170,per:dining,personal,dining,dining,personal dining expenses,expense,,,active,2025-11-09 23:43:10.525063
185,per:utility:gas:parnell,utility,gas,1108parnell,Gas bill for Parnell,expense,,,active,2025-11-09 23:43:10.525063
187,per:utility:water:parnell,utility,water,1108parnell,Water Bill for Parnell,expense,,,active,2025-11-09 23:43:10.525063
174,per:entertain:movies,personal,movies,movie,personal entertainment movies / subscriptions,expense,,,active,2025-11-09 23:43:10.525063
74,cash:account,account,cash,account,General Cash account,asset,,,active,2025-11-09 23:43:10.525063
199,mhb:mortgage:fees:711pine,mhb,fees,711pine fees,Fees on mortagage for 711pine,expense,property,,active,2025-11-10 10:27:14.470723
200,mhb:mortgage:fees:905brown,mbh,fees,905brown fees,Fees on mortgage for 905brown,expense,property,,active,2025-11-10 10:28:05.544934
75,csb:account,account,csb,account,Personal checking account,asset,,,active,2025-11-09 23:43:10.525063
201,mhb:mortgage:fees:819helen,mhb,fees,819helen fees,Fees on mortgage for 819helen,expense,property,,active,2025-11-10 10:29:04.509102
76,bgm:debit,account,debit,account,BGM debit account,asset,,,active,2025-11-09 23:43:10.525063
160,per:mortgage:parnell,per,mortgage,1108parnell,mortgage balance,liability,,,active,2025-11-09 23:43:10.525063
77,medical:account,account,medical,account,Medical Account,asset,,,active,2025-11-09 23:43:10.525063
78,mhb:account,account,mhb,account,Main bank account for MHB,asset,,,active,2025-11-09 23:43:10.525063
147,mhb:security deposit:711pine-01,mhb,security deposit,711pine-01,Security Deposit for 711 Pine 01,liability,,,active,2025-11-09 23:43:10.525063
146,mhb:security deposit:711pine-02,mhb,security deposit,711pine-02,Security Deposit for 711 Pine 02,liability,,,active,2025-11-09 23:43:10.525063
191,mhb:security deposit:819helen,mhb,security deposit,819helen,Security Deposit for 819 Helen St.,liability,,,active,2025-11-10 08:12:10.794535
190,mhb:security deposit:905brown,mhb,security deposit,905brown,Security Deposit for 905 Brown St.,liability,,,active,2025-11-10 08:10:28.188245
79,tax:account,account,tax,account,Federal and State / Personal Corp tax,asset,,,active,2025-11-09 23:43:10.525063
101,per:auto:gas,auto,gas,auto gas,Gas costs for truck,expense,deductible,,active,2025-11-09 23:43:10.525063
102,per:auto:maintenance,auto,maintenance,auto maintenance,Maintenance account for truck / cars,expense,deductible,,active,2025-11-09 23:43:10.525063
173,per:vacation:lodging,personal,lodging,,Vacation lodging,expense,,,active,2025-11-09 23:43:10.525063
169,per:loan:cadillac,personal,cadillac,cadlillac,cadillac loan personal,expense,,,active,2025-11-09 23:43:10.525063
171,per:groceries,personal,groceries,groceries,personal groceries for household,expense,,,active,2025-11-09 23:43:10.525063
172,per:household,personal,household,househole,general household personal expenses,expense,,,active,2025-11-09 23:43:10.525063
179,per:stmichelle:material,stmichelle,material,,expenses for Michelle's beauty products,expense,,,active,2025-11-09 23:43:10.525063
180,per:telecom:cable,telecom,cable,,cable in residence,expense,,,active,2025-11-09 23:43:10.525063
164,per:nv:airfare,nv,airfare,reno,"Travel/expenses for Reno, NV trip (daughter’s job)",expense,deductible,,active,2025-11-09 23:43:10.525063
186,per:utility:phone:parnell,utility,phone,,Phone (landline) bill for Parnell,expense,,,active,2025-11-09 23:43:10.525063
104,bgm:ar,bgm,ar,account receivable,bgm accounts receivable,asset,,,active,2025-11-09 23:43:10.525063
105,bgm:charity,bgm,charity,charity,charitable contributions,expense,deductible,,active,2025-11-09 23:43:10.525063
106,bgm:equipment:software:license,bgm,equipment,software:license,software license to bgm software,expense,deductible,,active,2025-11-09 23:43:10.525063
108,bgm:internet:webmeeting,bgm,internet,webmeeting,internet web meeting fees ie:zoom,expense,deductible,,active,2025-11-09 23:43:10.525063
109,bgm:internet:website,bgm,internet,website,web site development and maintenance fees,expense,deductible,,active,2025-11-09 23:43:10.525063
112,bgm:prof:training,bgm,prof,training,training and development,expense,deductible,,active,2025-11-09 23:43:10.525063
113,bgm:proj exp:dining,bgm,proj exp,dining,project expense for dining,expense,deductible,,active,2025-11-09 23:43:10.525063
114,bgm:proj exp:equipment,bgm,proj exp,equipment,project expense for equipment and rentals,expense,deductible,,active,2025-11-09 23:43:10.525063
115,bgm:proj exp:gas,bgm,proj exp,gas,gas while traveling for bgm,expense,deductible,,active,2025-11-09 23:43:10.525063
116,bgm:proj exp:lodging,bgm,proj exp,lodging,lodging while traveling for bgm,expense,deductible,,active,2025-11-09 23:43:10.525063
117,bgm:rebate,bgm,rebate,,rebate,income,,,active,2025-11-09 23:43:10.525063
118,bgm:sub:geode,bgm,sub,geode,Geode Environmental Subcontracting Fees,expense,,,active,2025-11-09 23:43:10.525063
119,bgm:sub:laboratory,bgm,sub,laboratory,Laboratory analysis fees,expense,,,active,2025-11-09 23:43:10.525063
121,bgm:equipment:computer,equipment,computer,computer equipment,computers and parts for bgm,asset,,,active,2025-11-09 23:43:10.525063
103,per:bank:fee,bank,fee,bank fees,banks fees used for all accounts,expense,deductible,,active,2025-11-09 23:43:10.525063
124,per:insurance:auto,insurance,auto,auto insurance,auto / truck insurance costs,expense,,,active,2025-11-09 23:43:10.525063
125,per:insurance:health,insurance,health,health insurance,health insurance costs,expense,,,active,2025-11-09 23:43:10.525063
126,per:insurance:life:fb,insurance,life,life insurance,life insurance costs,expense,,,active,2025-11-09 23:43:10.525063
165,per:nv:auto:gas,nv,auto,reno,"Travel/expenses for Reno, NV trip (daughter’s job)",expense,deductible,,active,2025-11-09 23:43:10.525063
166,per:nv:dining,nv,dining,reno,"Travel/expenses for Reno, NV trip (daughter’s job)",expense,deductible,,active,2025-11-09 23:43:10.525063
167,per:nv:lodging,nv,lodging,reno,"Travel/expenses for Reno, NV trip (daughter’s job)",expense,deductible,,active,2025-11-09 23:43:10.525063
168,per:nv:truck rental,nv,truck rental,reno,"Travel/expenses for Reno, NV trip (daughter’s job)",expense,deductible,,active,2025-11-09 23:43:10.525063
181,per:telecom:cell,telecom,cell phone,,cell phone,expense,,,active,2025-11-09 23:43:10.525063
120,per:credit:usaamc,credit,usaamc,credit card,USAA Credit card,liability,,,active,2025-11-09 23:43:10.525063
123,per:fbreen:tuition,fbreen,tuition,tuition,F.Breen 4 LSSU Tuition,expense,education,,active,2025-11-09 23:43:10.525063
128,per:loan:nissan,loan,nissan,nissan,nissan loan personal,liability,,,active,2025-11-09 23:43:10.525063
129,per:loan:unsecured,loan,unsecured,loan,unsecured loan for personal use,liability,,,active,2025-11-09 23:43:10.525063
107,bgm:draw:fbreen,bgm,fbreen,dispersement,dispersements to F.Breen,expense,deductible,,active,2025-11-09 23:43:10.525063
110,bgm:draw:mbreen,bgm,mbreen,dispersement,dispersements to M.Breen,expense,deductible,,active,2025-11-09 23:43:10.525063
111,bgm:draw:mcbreen,bgm,mcbreen,dispersement,dispersements to MC.Breen,expense,deductible,,active,2025-11-09 23:43:10.525063
