payee_pattern,allocate_account
HELLOFRESH.COM 800-733,personal : groceries
AIRBNB * HMEQ3A4TCZ 415-800-5959,proj exp : lodging
PURCHASE HOLIDAY STNSTORE 0231,auto : gas
PURCHASE PET SUPPLIES PLUS #201,salary : fbreen
LITTLE CAESARS 1324 0001 SAULT S,personal : dining out
TERRACE BAY HOTEL LLC GLADSTONE ,proj exp : lodging
PURCHASE T J MAXX 4500 I-7,salary : fbreen
PURCHASE DIXIE SALOON,proj exp : meal
CORPORATE ACH 270845121940383 IR,tax : corporate
HUNTINGTON ATM CASH WITHDRAWAL,account : cash
AIRBNB * HMMTF23NW9 415-800-5959,proj exp : lodging
PURCHASE WALGREENS STOR,salary : fbreen
MARATHON PETRO261354O,auto : gas
KofC Insurance,insurance : life : fb
CARDINAL STUDIOS LLC,personal : enterainment
SHELL OIL 57443221403 WALTON KY,auto : gas
Preferred Cred PrefCredit,loan : general
AIRBNB * HMJTMQXEDA 415-800-5959,proj exp : lodging
deposit,account : cash
PURCHASE JOANN STORES #,charity : school
PENNYS KITCHEN,personal : dining
PURCHASE BIG BOY 14 GAYLORD,proj exp : meal
PURCHASE CUP OF THE DAY,proj exp : meal
PURCHASE GEOTECH,proj exp : equipment
CUSTOMIZED SERVICE 858-810-2000 ,auto : maintanence
SUBWAY 00133280 GREENUP IL,proj exp : meal
SQ *114 ELM MUNISING MI,personal : clothing
INTERNET TFR TO CHECKING,account : bgm
LITTLE CAESARS 1324 00,personal : dining
PURCHASE AIRBNB * HM3YRTDRK2,proj exp : lodging
KFC J718185 BENTON IL,proj exp : meal
INTERNATIONAL TRANSACTION FEE,fee : bank
WAL-MART #7301 CARENCRO LA,proj exp : meal
HOLIDAY STNSTORE 0159 MARQUETTE ,auto : gas
PURCHASE AMZN MKTP US*M87603Z30,equipment : tech reference
BIGGBY COFFEE #351,personal : dining
HOMES TO SUITES BY HILTON662-349,proj exp : lodging
DAFTER LANDFILL DAFTER MI,household
Dr. OConnor,medical : general
csb,mortgage : parnell : escrow : surplus
PURCHASE HAMPTON INN,proj exp : lodging
PURCHASE PARKER ACE HAR,proj exp : equipment
PURCHASE WALGREENS 2101 ASH,salary : fbreen
PURCHASE MCDONALD'S F18073,proj exp : meal
EXXONMOBIL 96126230 LANSING MI,auto : gas
HAMPTON INN MARION MARION IL,proj exp : lodging
Deep Well,utility : water
ANOTHER BROKEN EGG - BATO BATON ,proj exp : meal
PURCHASE BEACON & BRIDGE MRKT13,auto : gas
PURCHASE CITY OF E LANSING PARK,proj exp : parking
WALGREENS STOR,personal : household
PURCHASE APPLEBEES 996056999600,proj exp : meal
CSB Unsecured Loan,loan : csb
SAVE A LOT #24479,personal : household
PURCHASE JOANN STORES #2336,charity : school
THE GRAND 16 - LAF LAFAYETTE LA,proj exp : meal
GOLDEN SOFTWARE 303-2791021 CO,equipment : software
ACH DEBIT XXXXX8110 IRS USATAXPY,tax : installment
PURCHASE LAKE SUPE LAKE SUP,tuition : mcbreen
PURCHASE SOME WEAR ON MACKINAC,household : clothing
CIRCLE K # 21530 WINONA MS,auto : gas
KRIST OIL 3* MARQUETTE MI,auto : gas
CHICAGO BOOKS & JOU 800-621-2736,personal : entertainment
1668 WINERY SAULT SAINTE MI,personal : dining out
OVERDRAFT ITEM FEE,fee : bank
HAMPTON INN ANDERSON ANDERSON IN,proj exp : lodging
PURCHASE CASEYS BURLINGTON,proj exp : meal
EASY SAVINGS REBATE RBT CASEYS B,proj exp : meal
RANDOLS RESTAURANT LAFAYETTE LA,proj exp : meal
CAFE VERMILIONVILLE LAFAYETTE LA,proj exp : meal
DEPOSIT,account : cash
MERCHANDISE RET YPS*HOMEAWAY HA-,salary : fbreen
KRIST FOOD MART #40 SAULT STE MA,proj exp : meal
MARATHON PETRO112052 SAULT STE. ,auto : gas
PURCHASE ONSTAR,telecom : onstar
WISE OWL TECHNOLOGIES SAULT SAIN,equipment : computer
PURCHASE PARKER ACE HAR,salary : fbreen
JORDAN'S CITGO KWIK STOP BLYTHEV,auto : gas
CSB Unsecured Loan,account : csb
PENNYS KITCHEN SAULT SAINTE MI,business development : meal
CHARTER COMMUNIC CHARTER CO,utility : internet service
KRIST OIL 3* SAULT SAINTE MI,auto : gas
PARKER ACE HARDWARE SAULT SAINTE,household
INTERNET PMT TO CCD 090418,credit : voice
PURCHASE OREILLY AUTO PA,proj exp : equipment
Chippewa County Treasurer,tax : property
BP#8729402RICKERS #24 PENDLETON ,proj exp : meal
INTERNET PMT TO CCD 103118,credit : voice
JCS SEVIERVILLE SEVIERVILLE TN,proj exp : meal
EDGERLYS SEW N VAC,personal : household
SHELL OIL 57443877709 SAINT IGNA,auto : gas
BP#8833196RICKERS #38 INDIANAPOL,auto : gas
PYMT BY FUNDS TRANSFER,account : personal
MARATHON PETRO204560 MARION IN,auto : gas
HAMPTON INN & SUITES LAFAYETTE L,proj exp : lodging
OD PROTECTION TRANSFER FROM CRED,credit : voice
CORPORATE ACH 270845153653073 IR,tax : corporate
PURCHASE HOLIDAY STNSTORE 0262,auto : gas
PURCHASE GFS STORE 3195 I75,salary : fbreen
FRANKS PLACE,personal : dining
WM SUPERCENTER #7301 CARENCRO LA,proj exp : meal
csb,mortgage : parnell : fee
JL DARLING 253-922-5000 WA,personal : clothing
APL* ITUNES.COM/BILL,personal : entertainment
ACH DEBIT XXXXX0696 IRS USATAXPY,tax : installment
PURCHASE AMAZON.COM*MT9LD1YO1,equipment : tech reference
PIONEER INN & SUITES ESCANABA MI,proj exp : lodging
MCDONALD'S F16997 HOUGHTON LAKE ,proj exp : meal
KANKAKEE FRFLD INN KANKAKEE IL,proj exp : lodging
KofC Council - Pasties,charity : kofc
DT *DULUTH TRADING CO,personal : clothing
PURCHASE SQU*SQ *DEAD RIVER COF,proj exp : meal
ALLY ALLY PAYMT,auto : sierra
FOTOFX ARK ENCOUNTER,personal : entertainment
PICKELMAN'S PANTRY & PUB NEWBERR,auto : gas
PURCHASE LOCK CITY HOME,salary : fbreen
PURCHASE MEIJER INC #203 Q01,proj exp : equipment
SHELL OIL 10004172002 OSCEOLA AR,auto : gas
CORPORATE ACH 270870315249065 IR,tax : corporate
EXTENDED OVERDRAFT FEE,fee : bank
EASY SAVINGS REBATE RBT BEACON &,proj exp : meal
INVOL OFFSET,personal : household
PAYPAL *DROPBOX 402-935-7733 CA,equipment : computer
PURCHASE MARATHON PETRO261354,auto : gas
PURCHASE WISH.COM,household : clothing
MERCHANDISE RET AIRBNB * HMYH59N,proj exp : lodging
DT *DULUTH TRADING CO 877-382-23,proj exp : clothes
INTERNET PMT TO CCD 062218,credit : voice
PROMETRIC EXAM FEE,license : fb
PURCHASE MARATHON PETRO112052,auto : gas
PURCHASE GFS STORE #092,salary : fbreen
MEIJER STORE #293,personal : groceries
CHEVRON 0205833 PORT BARRE LA,auto : gas
GFS STORE #0923,personal : groceries
GETZS DEPARTMENT STORE,personal : clothing
DULUTH TRADING STORE PORT WASHIN,personal : clothes
MCDONALD'S F5353,personal : dining
PAYPAL *ARTCURATOR 402-935-7733 ,personal : entertainment
WPY*DEANA COWLEY,personal : charity
WAL-MART #1936,personal : groceries
PURCHASE SUBWAY 03023660,proj exp : meal
CHARTER COMMUNIC CHARTER CO,utility : internet
NIU OUTREACH 815-753-5927 IL,prof training
WM SUPERCENTER,personal : household
PURCHASE RTL OF MICHIGAN*RLM B,charity : rtl
PURCHASE SQU*SQ *NORTH PERK COF,proj exp : meal
CRACKER BARREL #93 MT. VE MOUNT ,proj exp : meal
KRIST OIL 3*,auto : gas
PET SUPPLIES PLUS #201,personal : household
LINKEDIN-424*6627464 LNKD.IN/BIL,equipment : computer
PURCHASE MOLONEYS ALLEY,salary : fbreen
MOLONEYS ALLEY SAULT SAINTE MI,personal : dining out
PURCHASE BIG LOTS 3396 I 7,salary : fbreen
PAYPAL *BARONIUS,personal : household
KNIGHTS GEAR ONLINE 877-2476792 ,charity : reimbursed
YOUNKERS #0442,personal : clothing
XMIND LTD CENTRAL HK,equipment : software license
WM SUPERCENTER #1936,personal : groceries
PURCHASE SOO BREWING CO,salary : fbreen
PURCHASE CIRCLE K # 06604,auto : gas
PURCHASE SUMMIT SUPPLY INC,equipment : office furniture
Bishop Baraga Association,charity : church
SHELL OIL 51329150042 FORT WAYNE,auto : gas
MCDONALD'S F26195 BLYTHEVILLE AR,proj exp : meal
COURTYARD BY MARRIOTT LANSING MI,proj exp : lodging
PURCHASE DOHERTY HOTEL,proj exp : lodging
PURCHASE TIMBER CHARLIE'S FAMIL,proj exp : meal
EASY SAVINGS REBATE RBT BEACON &,proj exp : lodging
PURCHASE DAIRY QUEEN #13026,salary : fbreen
MARY'S BISTRO MACKINAC ISLA MI,personal : vacation
PURCHASE WM SUPERCENTER,proj exp : meal
EXXONMOBIL 47715560 BYRAM MS,auto : gas
THE MACHINE SHOP SAULT STE. MA C,personal : dining out
VALUE VILLAGE 2042,personal : household
AIRBNB * HME8CB3CFN 415-800-5959,proj exp : lodging
CHEVRON 0046369 MCCOMB MS,auto : gas
CALCULATED SERVICE CHARGE TYPE F,fee : bank
DEPOSIT,account : bgm
Michelle Breen,salary : fbreen
KOHL'S #1522,personal : household
REGENCY TRAVEL INN HAYTI MO,proj exp : lodging
ACH CREDIT 5981392 HUNTINGTON BP,account : bgm
Cloverland Elect WEB PMTS,utility : electric
MARATHON PETRO178590 WATERS MI,auto : gas
PURCHASE BOOKFACTORY,equipment : office supplies
PURCHASE SUNOCO 0703910000 QPS,auto : gas
SCHULER BOOKSMUSIC OKEMOS MI,personal : entertainment
LOCK CITY HOME CTR SAULT SAINTE ,personal
w/drawl,account : cash
EASY SAVINGS REBATE RBT PIZZA HU,proj exp : meal
CVS/PHARMACY #08282 EAST LANSING,proj exp : meal
NON-HUNTINGTON CASH WITHDRAWAL,account : cash
DEPOSIT,account : csb
PURCHASE SQU*SQ *DANCING CRANE,proj exp : meal
Holy Name of Mary,charity : church
PERSONAL TOUCH ART STO,personal : household
MONTHLY SERVICE FEE,fee : bank
EASY SAVINGS REBATE RBT CIRCLE K,proj exp : meal
INTERNET PMT TO CCD 022618,credit : voice
THE CHOP HOUSE SMOKYS SEVIERVILL,proj exp : meal
PURCHASE WAL-MART #1936,proj exp : meal
PURCHASE PFS*PREMIUM PAYMENT,insurance : gen-prof liability
MCDONALD'S F35775 JELLICO TN,proj exp : meal
1668 WINERY SAULT S MARIE MI,personal : dining out
PURCHASE NORTHWEST OIL EXPRESS,auto : maintenance
csb,mortgage : parnell : escrow
balance,begin balance
MERCHANDISE RET HELLOFRESH.C,personal : groceries
KofC,insurance : life : mb
RADISSON HOTELS #33 LANSING MI,proj exp : lodging
ZORBAS GREEK AMERICAN,personal : dining
BP#8595407ONKEN BP INDIANAPOLIS ,auto : gas
Loan Payment,mortgage : parnell
State of MI - Cruz Registration,auto : registration
PURCHASE KRIST OIL 3*,auto : gas
Frank Breen,account : personal
PURCHASE RITE AID STORE,proj exp : meal
PURCHASE PERSONAL TOUCH ART STO,salary : fbreen
PURCHASE SOO SUPERVALU FOODS,salary : fbreen
INTERNET PMT TO CCD 081318,credit : voice
BOB EVANS REST #0170 BOWLING GRE,proj exp : meal
Mi Right to Life,charity : rtl
ARK ENCOUNTER,personal : entertainment
PURCHASE SP * EXODUS 90,salary : fbreen
PURCHASE SQ *SQ *JUDY MOSER,salary : fbreen
CUP OF THE DAY,personal : dining
PURCHASE AMZN MKTP US*M03921UW2,equipment : tech reference
DTE ELECTRIC CO 8004774747,utility : gas
THOSE CATHOLIC MEN INC,personal : subscription
PURCHASE SAULT PRINTING CO,proj exp : reproduction
csb,mortgage : baird : principle
PAYPAL *NETFLIX.COM 402-935-7733,personal : entertainment
HLU*HULU 389613896498,personal : entertainment
PURCHASE Wal-Mart Super,proj exp : meal
w/drawl,account : bgm
Dept. Natural Resource - CGWP,prof : license
PURCHASE AMZN MKTP US*MT7JP4W80,equipment : tech reference
MONTHLY CHECKING FEE,fee : bank
PURCHASE AMERICINN MOTEL & SUIT,proj exp : lodging
STAPLES DIRECT 800-3333330 MA,equipment : office supplies
MARATHON PETRO21402 GAYLORD MI,auto : gas
SERVICE CHARGE PERIOD ENDING 09/,fee : bank
GMF Lease,auto : cruze
WAL-MART #1936 SAULT SAINTE MI,household
PURCHASE RITE AID STORE - 4579,proj exp : meal
Dale Hoornstra,utility : other
PURCHASE MEIJER # 293,proj exp : equipment
PENNYS KITCHEN SAULT SAINTE MI,personal : dining out
RMP Services,medical : rmp
US Treasurer - IRS,tax : corporate 
PURCHASE ROAD RANGER #265,auto : gas
MERCHANDISE RET POSHMARK,salary : fbreen
PURCHASE JCPENNEY 0703,household
LinkedIn 4183337174 lnkd.855-653,equipment : computer
PURCHASE AMAZON.COM*M86JW1FC1,equipment : tech reference
ACH DEBIT XXXXX2220 IRS USATAXPY,tax : installment
SOCIETY OF EXPLORATION 918-497-5,prof : association
HLU*HULU 389613896259,personal : entertainment
MOLONEYS ALLEY,personal : dining
PURCHASE YPS*HOMEAWAY HA-LPTBRX,unknown
HUNTINGTON BP MERCH PMT 180104,account : bgm
MARATHON PETRO151787 PIGEON FORG,auto : gas
PURCHASE TRACTOR S 4646 75,proj exp : equipment
511 ASHMUN ST SAULT ST. MAR MI,personal : dining out
DAILY WIRE 817-8503600 TX,personal : news
PERKINS REST 00011858 GALESBURG ,proj exp : meal
Larry - ACAD,sub : acad
PURCHASE AMZN MKTP US*M82TK1LZ1,equipment : tech reference
AUGUSTI*NE FORMED.ORG,personal : spiritual
WISE OWL TECHNOLOGIES 800-449801,equipment : computer
MARATHON PETRO88609 LEXINGTON KY,auto : gas
Interest Charge on Cash Advances,fee : interest
939 ANGULAR ST BURLINGTON IA,proj exp : meal
PURCHASE SOO SUPERVALU FOODS,household : groceries
PURCHASE BP#8701815ST IGNACEQPS,auto : gas
HAMPTON INN & SUITES BAY CITY MI,proj exp : lodging
PURCHASE DUNKIN #356647,proj exp : meal
PURCHASE PICKLEMAN S PETRO,auto : gas
TRACTOR SUPPLY #781 SAULT ST MAR,proj exp : clothes
MB Loan,account : csb
PURCHASE PAYLESS SHOESO00044222,salary : fbreen
HARLAND CLARKE CHK ORDER,fee : bank
PURCHASE AMAZONPRIME MEMBERSHIP,equipment : tech reference
debit memo,account : cash
MICHAELS STORES 5807,personal : household
1668 WINERY,personal : dining
KRIST OIL CO INC 0,auto : gas
THE STONEHOUSE ESCANABA MI,proj exp : meal
PURCHASE DRESSBARN DRESSBAR,salary : fbreen
AIRBNB * HMEPQRMYCW 415-800-5959,proj exp : lodging
PURCHASE LIFETOUCHPHOTOGRAPHY,household
Keystone,sub : laboratory
ACH DEBIT XXXXX2138 IRS USATAXPY,tax : installment
CIRCLE K # 06604 319-752-7133 IA,proj exp : meal
IPFS866-412-2429 IPFSPMTKYL,insurance : gen-prof liability
MEIJER STORE #293 SAULT SAINTE M,household
PURCHASE JCPENNEY 0703,salary : fbreen
PURCHASE KOHLS 152 4516 I-7,salary : fbreen
CRACKER BARREL #139 JACKS JACKSO,proj exp : meal
PURCHASE ASTM FEES/PUBLICATIONS,equipment : tech reference
NON-HUNTINGTON ATM WITHDRAWAL FE,fee : atm
CMSVEND*BE'S VENDING GREEN BAY W,proj exp : meal
SQ *CC'S COFFEE HOU CARENCRO LA,proj exp : meal
Loan Payment,mortgage : baird
PURCHASE SEC OF STATE BRANCH374,auto : license
KWIK TRIP 65200006528 FOND DU LA,auto : gas
SERVICE CHARGE PERIOD ENDING 08/,fee : bank
DENNY'S #8632 18007336 EFFINGHAM,proj exp : meal
PURCHASE GRAND HOTEL,personal : vacation
PURCHASE THEDRAKERESTAURANT,proj exp : meal
Jacksons Lawn Care,utility : other
LSSU,tuition : mcbreen
PAYPAL *FANDANGOMED,personal : household
DDA CASH ADVANCE,account : cash
USAA P&C EXT AUTOPAY,insurance : auto
MACKINAC OLD TIME PHOTO MACKINAC,personal : vacation
Interest,fee : interest
PURCHASE CASEYS BURLINGTON,auto : gas
INTERNET PMT TO CCD 031318,credit : voice
ARDENE #138,personal : clothing
ACH DEBIT XXXXX7400 IRS USATAXPY,tax : installment
AIRGASS NORTH INDEPENDENCE OH,equipment : clothing
SUZY SHIER 7391,personal : household
ACH CREDIT 9303665 HUNTINGTON BP,account : bgm
PURCHASE FRANKS PLACE,proj exp : meal
ARFSTROM PHARM,personal : groceries
PURCHASE WAL-MART #0797,proj exp : meal
OD PROTECTION TRANSFER FROM CRED,account : personal
PURCHASE MARATHON PETRO60996,auto : gas
PURCHASE AMAZON.COM,equipment : tech reference
PURCHASE AMAZON.COM*M22KV93D0,equipment : tech reference
GREAT WALL SAULT ST MARI MI,personal : dining out
PURCHASE PIZZA HUT 10918,proj exp : meal
PSN*CITY OF SAUL UTILITY PA,utility : water
check,account : bgm
