payee_pattern,allocate_account
PARKER ACE HARDWARE SAULT SAINTE,dispersement : fb
Vern Miron,charity : kofc
USAA.COM PAYMNT CREDIT CRD,credit : usaamc
PURCHASE CROWNE PLAZA LANSING W,proj exp : lodging
WALGREENS #10405,dispersement : fb
ACH CREDIT 9303664 HUNTINGTON BP,account : bgm
TARGET 00011692 HORN LAKE MS,proj exp : meal
T J MAXX 4500 I-7,dispersement : fb
SHELL OIL 52136600039 GAYLORD MI,auto : gas
INTERNET PMT TO CCD 043018,credit : voice
PURCHASE CHRISTOPH 301 N LI,auto : gas
ACH CREDIT 1732390 HUNTINGTON BP,account : bgm
GUSTO CON 313669,account : ar
T J MAXX #1322,dispersement : fb
SPEEDWAY 02211 LAK EAST LANSING ,auto : gas
SUNOCO 0236971800 BRIMLEY MI,auto : gas
ACH CREDIT 2646387 HUNTINGTON BP,account : bgm
PURCHASE AMZN MKTP US,equipment : tech reference
OFFICEMAX/OFFICE DEPOT643 MARQUE,equipment : office supplies
MERCHANDISE RET POSHMARK,dispersement : fb
HLU*HULU 389613896498,dispersement : fb
OJIBWA EXPRESS CON MARQUETTE MI,equipment : office supplies
PURCHASE DAFTER LANDFILL,utility : disposal
PURCHASE BIG LOTS 3396 I 7,equipment : office furniture
HUNTINGTON BP MERCH PMT 180501,account : bgm
NEPHEWS OF MACKINAC MACKINAC ISL,dispersement : fb
TLF*COED FLOWERS AND G,dispersement : fb
PURCHASE FAREWAY STORES,proj exp : meal
HAMPTON INNS 517-2799800 MI,proj exp : lodging
PURCHASE CHURCH MILITANT.TV,dispersement : fb
LOVE S TRAVEL 00002543 MOORESVIL,auto : gas
PURCHASE THE JAUNTING CART,proj exp : meal
511 ASHMUN ST SAULT ST. MAR MI,dispersement : fb
CHARTER COMMUNIC CHARTER CO,utility : internet service : cable
PURCHASE SUNOCO 0444773600 QPS,auto : gas
USAA CHK-INTRNT TRANSFER,account : usaa
MCDONALD'S F17236 NEWBERRY MI,proj exp : meal
PURCHASE JOANN STORES #2336,charity : stmarys
csb,mortgage : parnell : principle
CRACKER BARREL #156 TE,proj exp : meal
PURCHASE GREAT LAKES OPTOMETRY,medical : eye
THEDRAKERESTAURANT BURLINGTON IA,proj exp : meal
EASY SAVINGS REBATE RBT BP#59864,proj exp : meal
SUPER 1 FOODS 629 CARENCRO LA,proj exp : meal
PURCHASE JCPENNEY.COM,dispersement : fb
MB Loan,loan : mb
WAL-MART #2866 OKEMOS MI,proj exp : meal
PURCHASE AMAZON.COM AMZN.COM/BI,equipment : tech reference
PURCHASE THE LANDMARK INN,proj exp : lodging
Dr. Mercer,medical : dental
RAISING CANE'S #53 LAFAYETTE LA,proj exp : meal
PURCHASE GRAND HOTEL LLC,dispersement : fb
PREJEANS LAFAYETTE LA,proj exp : meal
PURCHASE FOUR SEASONS MKT,proj exp : meal
INVOL OFFSET,dispersement : fb
SALON C,dispersement : fb
The Landmark Inn Marquette MI,proj exp : lodging
PURCHASE EXXONMOBIL 97555544,auto : gas
LOVE S COUNTRY00002402 PORT ALLE,auto : gas
Payment to MB,account : debit
WOODLAKE MARKET KOHLER WI,proj exp : meal
CIRCLE K 01691 LAFAYETTE LA,auto : gas
PURCHASE AMZN MKTP US*M803I1LS1,equipment : tech reference
SHELL OIL 10011839007 MOUNT PLEA,auto : gas
PURCHASE WISE OWL TECHNOLOGIES,equipment : computer
EXXONMOBIL 45304169 KROTZ SPRING,auto : gas
INTERNET PMT TO CCD 011618,credit : voice
THE MACHINE SHOP SAULT STE. MA C,dispersement : fb
PURCHASE TRACTOR-S 6818 SOU,proj exp : equipment
SOLO TRATTORIA,dispersement : fb
CUP OF THE DAY,dispersement : fb
CHINA CATE SAULT S MARIE MI,dispersement : fb
WAL-MART #1294 MARION IN,proj exp : meal
PURCHASE BENT RIVER BREWING COM,proj exp : meal
PURCHASE PICKLEMAN'S 1 STOP,auto : gas
AIRBNB * HMEQ3A4TCZ 415-800-5959,proj exp : lodging
PURCHASE SEC OF STATE BRANCH374,auto : registration
PURCHASE HOLIDAY STNSTORE 0231,auto : gas
Invoice,account : bgm
PICABOO YEARBOOKS,dispersement : fb
JL DARLING 253-922-5000 WA,dispersement : fb
TERRACE BAY HOTEL LLC GLADSTONE ,proj exp : lodging
PURCHASE DIXIE SALOON,proj exp : meal
CORPORATE ACH 270845121940383 IR,tax : corporate
HUNTINGTON ATM CASH WITHDRAWAL,account : cash
AIRBNB * HMMTF23NW9 415-800-5959,proj exp : lodging
MARATHON PETRO261354O,auto : gas
KofC Insurance,insurance : life : fb
SHELL OIL 57443221403 WALTON KY,auto : gas
HLU*HULU 389613892613,dispersement : fb
Preferred Cred PrefCredit,loan : general
PURCHASE DRESSBARN DRESSBAR,dispersement : fb
AIRBNB * HMJTMQXEDA 415-800-5959,proj exp : lodging
deposit,account : cash
PURCHASE BIG BOY 14 GAYLORD,proj exp : meal
PURCHASE TLF*COED FLOWERS AND G,dispersement : fb
EDGERLYS SEW N VAC,dispersement : fb
PURCHASE CUP OF THE DAY,proj exp : meal
SUBWAY 00133280 GREENUP IL,proj exp : meal
PURCHASE GEOTECH,proj exp : equipment
INTERNET TFR TO CHECKING,account : bgm
MERCHANDISE RET YPS*HOMEAWAY HA-,dispersement : fb
KFC J718185 BENTON IL,proj exp : meal
PURCHASE AIRBNB * HM3YRTDRK2,proj exp : lodging
INTERNATIONAL TRANSACTION FEE,fee : bank
WAL-MART #7301 CARENCRO LA,proj exp : meal
HOLIDAY STNSTORE 0159 MARQUETTE ,auto : gas
PURCHASE AMZN MKTP US*M87603Z30,equipment : tech reference
HOMES TO SUITES BY HILTON662-349,proj exp : lodging
FRANKS PLACE,dispersement : fb
Dr. OConnor,medical : general
csb,mortgage : parnell : escrow : surplus
PURCHASE HAMPTON INN,proj exp : lodging
PURCHASE PARKER ACE HAR,proj exp : equipment
PURCHASE MCDONALD'S F18073,proj exp : meal
EXXONMOBIL 96126230 LANSING MI,auto : gas
PURCHASE PARKER ACE HARDWARE,dispersement : fb
HAMPTON INN MARION MARION IL,proj exp : lodging
Deep Well,utility : water
ANOTHER BROKEN EGG - BATO BATON ,proj exp : meal
PURCHASE BEACON & BRIDGE MRKT13,auto : gas
PURCHASE CITY OF E LANSING PARK,proj exp : parking
FB4 Rental Payment,income : rental : fb
MARY'S BISTRO MACKINAC ISLA MI,dispersement : fb
TANGLEWOOD MARSH GOLF,dispersement : fb
PURCHASE APPLEBEES 996056999600,proj exp : meal
CSB Unsecured Loan,loan : csb
BIGGBY COFFEE #351,dispersement : fb
THE GRAND 16 - LAF LAFAYETTE LA,proj exp : meal
ACH DEBIT XXXXX8110 IRS USATAXPY,tax : installment
GOLDEN SOFTWARE 303-2791021 CO,equipment : software
PURCHASE LAKE SUPE LAKE SUP,tuition : mcbreen
PURCHASE PET SUPPLIES PLUS #201,dispersement : fb
ETERNAL LIFE 502-3483963 KY,dispersement : fb
HLU*HULU 38961389-U,dispersement : fb
CIRCLE K # 21530 WINONA MS,auto : gas
KRIST OIL 3* MARQUETTE MI,auto : gas
OVERDRAFT ITEM FEE,fee : bank
HAMPTON INN ANDERSON ANDERSON IN,proj exp : lodging
PURCHASE CASEYS BURLINGTON,proj exp : meal
EASY SAVINGS REBATE RBT CASEYS B,proj exp : meal
RANDOLS RESTAURANT LAFAYETTE LA,proj exp : meal
MICHAELS STORES 5807,dispersement : fb
HUNTINGTON ATM CASH WITHDRAWAL,loan : mb
CAFE VERMILIONVILLE LAFAYETTE LA,proj exp : meal
w/drawl,account : personal
DEPOSIT,account : cash
KRIST FOOD MART #40 SAULT STE MA,proj exp : meal
MARATHON PETRO112052 SAULT STE. ,auto : gas
PAYPAL *FANDANGOMED,dispersement : fb
PURCHASE ONSTAR,telecom : onstar
PAYPAL *NETFLIX.COM 402-935-7733,dispersement : fb
WISE OWL TECHNOLOGIES SAULT SAIN,equipment : computer
JORDAN'S CITGO KWIK STOP BLYTHEV,auto : gas
CSB Unsecured Loan,account : csb
PENNYS KITCHEN SAULT SAINTE MI,business development : meal
KRIST OIL 3* SAULT SAINTE MI,auto : gas
PURCHASE OREILLY AUTO PA,proj exp : equipment
INTERNET PMT TO CCD 090418,credit : voice
Chippewa County Treasurer,tax : property
BP#8729402RICKERS #24 PENDLETON ,proj exp : meal
LSSU TICKETING & EVENT,dispersement : fb
HUNTINGTON BP MERCH PMT 180108,account : bgm
SQ *MAEVE'S ART SAN FRANCISCO CA,dispersement : fb
INTERNET PMT TO CCD 103118,credit : voice
JCS SEVIERVILLE SEVIERVILLE TN,proj exp : meal
SHELL OIL 57443877709 SAINT IGNA,auto : gas
BP#8833196RICKERS #38 INDIANAPOL,auto : gas
PYMT BY FUNDS TRANSFER,account : personal
MARATHON PETRO204560 MARION IN,auto : gas
HAMPTON INN & SUITES LAFAYETTE L,proj exp : lodging
CORPORATE ACH 270845153653073 IR,tax : corporate
OD PROTECTION TRANSFER FROM CRED,credit : voice
WALGREENS #10405 SAULT S MARIE M,dispersement : fb
PURCHASE HOLIDAY STNSTORE 0262,auto : gas
PURCHASE THE MENS WEARHOUSE,dispersement : fb
WM SUPERCENTER #7301 CARENCRO LA,proj exp : meal
APGO TORONTO CD,prof : license
csb,mortgage : parnell : fee
ACH DEBIT XXXXX0696 IRS USATAXPY,tax : installment
PURCHASE AMAZON.COM*MT9LD1YO1,equipment : tech reference
PIONEER INN & SUITES ESCANABA MI,proj exp : lodging
MCDONALD'S F16997 HOUGHTON LAKE ,proj exp : meal
KANKAKEE FRFLD INN KANKAKEE IL,proj exp : lodging
PARKER ACE HARDWARE,dispersement : fb
KofC Council - Pasties,charity : kofc
PURCHASE SQU*SQ *DEAD RIVER COF,proj exp : meal
ALLY ALLY PAYMT,auto : sierra
PURCHASE MEIJER INC #203 Q01,proj exp : equipment
PURCHASE JOANN STORES #,dispersement : fb
PICKELMAN'S PANTRY & PUB NEWBERR,auto : gas
SHELL OIL 10004172002 OSCEOLA AR,auto : gas
CORPORATE ACH 270870315249065 IR,tax : corporate
EXTENDED OVERDRAFT FEE,fee : bank
EASY SAVINGS REBATE RBT BEACON &,proj exp : meal
PAYPAL *DROPBOX 402-935-7733 CA,equipment : computer
PURCHASE MARATHON PETRO261354,auto : gas
MERCHANDISE RET AIRBNB * HMYH59N,proj exp : lodging
DT *DULUTH TRADING CO 877-382-23,proj exp : clothes
INTERNET PMT TO CCD 062218,credit : voice
Michelle Breen,loan : mb
PROMETRIC EXAM FEE,license : fb
PURCHASE MARATHON PETRO112052,auto : gas
MEIJER STORE #293,dispersement : fb
PURCHASE 1668 WINERY,dispersement : fb
CHEVRON 0205833 PORT BARRE LA,auto : gas
MERCHANDISE RET HELLOFRESH.C,dispersement : fb
DAILY WIRE 817-8503600 TX,dispersement : fb
PURCHASE LOCK CITY HOME,dispersement : fb
PET SUPPLIES PLUS #201,dispersement : fb
PURCHASE SUBWAY 03023660,proj exp : meal
JOANN STORES #2336,dispersement : fb
PURCHASE RTL OF MICHIGAN*RLM B,charity : rtl
PURCHASE SQU*SQ *NORTH PERK COF,proj exp : meal
CRACKER BARREL #93 MT. VE MOUNT ,proj exp : meal
KRIST OIL 3*,auto : gas
HUNTINGTON ATM CASH WITHDRAWAL,dispersement : fb
LINKEDIN-424*6627464 LNKD.IN/BIL,equipment : computer
FRANKS PLACE - SAULT S SAULT SAI,dispersement : fb
FOTOFX ARK ENCOUNTER,dispersement : fb
MOLONEYS ALLEY,dispersement : fb
KNIGHTS GEAR ONLINE 877-2476792 ,charity : reimbursed
GREAT WALL,dispersement : fb
MOLONEYS ALLEY SAULT SAINTE MI,dispersement : fb
XMIND LTD CENTRAL HK,equipment : software license
HURON ST PUB AND GRILL MACKINAC ,dispersement : fb
PURCHASE SUMMIT SUPPLY INC,equipment : office furniture
PURCHASE CIRCLE K # 06604,auto : gas
PURCHASE FRANKS PLACE,dispersement : fb
Bishop Baraga Association,charity : church
SHELL OIL 51329150042 FORT WAYNE,auto : gas
MCDONALD'S F26195 BLYTHEVILLE AR,proj exp : meal
COURTYARD BY MARRIOTT LANSING MI,proj exp : lodging
PURCHASE DOHERTY HOTEL,proj exp : lodging
PURCHASE SUPERIOR SENSATIONS CA,dispersement : fb
PURCHASE TIMBER CHARLIE'S FAMIL,proj exp : meal
EASY SAVINGS REBATE RBT BEACON &,proj exp : lodging
PAYPAL *AUDIOBOOKS 402-935-7733 ,dispersement : fb
SQ *114 ELM MUNISING MI,dispersement : fb
PURCHASE WM SUPERCENTER,proj exp : meal
EXXONMOBIL 47715560 BYRAM MS,auto : gas
REBLOSSOM CONSIGNMENT,dispersement : fb
AIRBNB * HME8CB3CFN 415-800-5959,proj exp : lodging
CALCULATED SERVICE CHARGE TYPE F,fee : bank
CHEVRON 0046369 MCCOMB MS,auto : gas
DEPOSIT,account : bgm
REGENCY TRAVEL INN HAYTI MO,proj exp : lodging
WAL-MART #1936,dispersement : fb
ACH CREDIT 5981392 HUNTINGTON BP,account : bgm
Cloverland Elect WEB PMTS,utility : electric
MARATHON PETRO178590 WATERS MI,auto : gas
PURCHASE BOOKFACTORY,equipment : office supplies
PURCHASE SUNOCO 0703910000 QPS,auto : gas
ARDENE #138,dispersement : fb
EASY SAVINGS REBATE RBT PIZZA HU,proj exp : meal
CVS/PHARMACY #08282 EAST LANSING,proj exp : meal
SOO SUPERVALU FOODS,dispersement : fb
w/drawl,account : cash
NON-HUNTINGTON CASH WITHDRAWAL,account : cash
DEPOSIT,account : csb
PURCHASE SQU*SQ *DANCING CRANE,proj exp : meal
Holy Name of Mary,charity : church
MONTHLY SERVICE FEE,fee : bank
EASY SAVINGS REBATE RBT CIRCLE K,proj exp : meal
THE CHOP HOUSE SMOKYS SEVIERVILL,proj exp : meal
VALUE VILLAGE 2042,dispersement : fb
INTERNET PMT TO CCD 022618,credit : voice
PURCHASE WAL-MART #1936,proj exp : meal
PURCHASE PFS*PREMIUM PAYMENT,insurance : gen-prof liability
PURCHASE POSHMARK,dispersement : fb
MCDONALD'S F35775 JELLICO TN,proj exp : meal
CHICAGO BOOKS & JOU 800-621-2736,dispersement : fb
AT&T WIRELESS,telecom : cell phone
csb,mortgage : parnell : escrow
PURCHASE NORTHWEST OIL EXPRESS,auto : maintenance
WAL-MART #1936 SAULT SAINTE MI,dispersement : fb
balance,begin balance
STAR LINE MACKINAC ISL SAINT IGN,dispersement : fb
PAYPAL *BANANA BUYB,dispersement : fb
KofC,insurance : life : mb
RADISSON HOTELS #33 LANSING MI,proj exp : lodging
GREAT WALL SAULT ST MARI MI,dispersement : fb
Invoice,account : ar
BP#8595407ONKEN BP INDIANAPOLIS ,auto : gas
INDO CHINA GARDEN,dispersement : fb
NIU OUTREACH 815-753-5927 IL,prof : training
Loan Payment,mortgage : parnell
State of MI - Cruz Registration,auto : registration
PURCHASE KRIST OIL 3*,auto : gas
Frank Breen,account : personal
PURCHASE RITE AID STORE,proj exp : meal
INTERNET PMT TO CCD 081318,credit : voice
BOB EVANS REST #0170 BOWLING GRE,proj exp : meal
Mi Right to Life,charity : rtl
DTE ELECTRIC CO 8004774747,utility : gas
PURCHASE AMZN MKTP US*M03921UW2,equipment : tech reference
PURCHASE SAULT PRINTING CO,proj exp : reproduction
csb,mortgage : baird : principle
PURCHASE Wal-Mart Super,proj exp : meal
Dept. Natural Resource - CGWP,prof : license
w/drawl,account : bgm
PURCHASE AMZN MKTP US*MT7JP4W80,equipment : tech reference
Michelle Breen,dispersement : fb
MONTHLY CHECKING FEE,fee : bank
MACKINAC OLD TIME PHOTO MACKINAC,dispersement : fb
PURCHASE AMERICINN MOTEL & SUIT,proj exp : lodging
STAPLES DIRECT 800-3333330 MA,equipment : office supplies
MARATHON PETRO21402 GAYLORD MI,auto : gas
TST* WINCHESTER S MACKINAC ISLA ,dispersement : fb
SERVICE CHARGE PERIOD ENDING 09/,fee : bank
GMF Lease,auto : cruze
PURCHASE RITE AID STORE - 4579,proj exp : meal
Dale Hoornstra,utility : other
PURCHASE MOLONEYS ALLEY,dispersement : fb
PURCHASE MEIJER # 293,proj exp : equipment
US Treasurer - IRS,tax : corporate 
RMP Services,medical : rmp
PURCHASE JCPENNEY 0703,dispersement : fb
PURCHASE ROAD RANGER #265,auto : gas
LinkedIn 4183337174 lnkd.855-653,equipment : computer
ACH DEBIT XXXXX2220 IRS USATAXPY,tax : installment
PURCHASE AMAZON.COM*M86JW1FC1,equipment : tech reference
SOCIETY OF EXPLORATION 918-497-5,prof : association
CARDINAL STUDIOS LLC,dispersement : fb
PURCHASE SOO SUPERVALU FOODS,dispersement : fb
PURCHASE YPS*HOMEAWAY HA-LPTBRX,unknown
HUNTINGTON BP MERCH PMT 180104,account : bgm
MARATHON PETRO151787 PIGEON FORG,auto : gas
PURCHASE TRACTOR S 4646 75,proj exp : equipment
Larry - ACAD,sub : acad
PERKINS REST 00011858 GALESBURG ,proj exp : meal
PURCHASE AMZN MKTP US*M82TK1LZ1,equipment : tech reference
PURCHASE SOME WEAR ON MACKINAC,dispersement : fb
Interest Charge on Cash Advances,fee : interest
WISE OWL TECHNOLOGIES 800-449801,equipment : computer
MARATHON PETRO88609 LEXINGTON KY,auto : gas
939 ANGULAR ST BURLINGTON IA,proj exp : meal
SATELLITE RECEI,dispersement : fb
PURCHASE SOO BREWING CO,dispersement : fb
PURCHASE BP#8701815ST IGNACEQPS,auto : gas
HAMPTON INN & SUITES BAY CITY MI,proj exp : lodging
PURCHASE DUNKIN #356647,proj exp : meal
NON-HUNTINGTON CASH WITHDRAWAL,loan : mb
PURCHASE PICKLEMAN S PETRO,auto : gas
TRACTOR SUPPLY #781 SAULT ST MAR,proj exp : clothes
SP * ALDENFIT,dispersement : fb
WPY*DEANA COWLEY,dispersement : fb
PURCHASE SOO SUPERVALU,dispersement : fb
PURCHASE LOCK CITY HOME CTR,dispersement : fb
MB Loan,account : csb
HARLAND CLARKE CHK ORDER,fee : bank
PURCHASE AMAZONPRIME MEMBERSHIP,equipment : tech reference
DOLLAR TREE,dispersement : fb
debit memo,account : cash
1668 WINERY SAULT S MARIE MI,dispersement : fb
KRIST OIL CO INC 0,auto : gas
THE STONEHOUSE ESCANABA MI,proj exp : meal
HOLLYWOOD WAX MUSEUM,dispersement : fb
AIRBNB * HMEPQRMYCW 415-800-5959,proj exp : lodging
KOHL'S #1522,dispersement : fb
DAFTER LANDFILL DAFTER MI,dispersement : fb
PAYPAL *ARTCURATOR 402-935-7733 ,dispersement : fb
Keystone,sub : laboratory
ACH DEBIT XXXXX2138 IRS USATAXPY,tax : installment
CIRCLE K # 06604 319-752-7133 IA,proj exp : meal
IPFS866-412-2429 IPFSPMTKYL,insurance : gen-prof liability
CRACKER BARREL #139 JACKS JACKSO,proj exp : meal
AUGUSTI*NE FORMED.ORG,dispersement : fb
PURCHASE ASTM FEES/PUBLICATIONS,equipment : tech reference
HLU*HULU 389613896259,dispersement : fb
PURCHASE YPS*HOMEAWAY HA-LPTBRX,dispersement : fb
NON-HUNTINGTON ATM WITHDRAWAL FE,fee : atm
PURCHASE MEIJER # 293,dispersement : fb
CMSVEND*BE'S VENDING GREEN BAY W,proj exp : meal
SQ *CC'S COFFEE HOU CARENCRO LA,proj exp : meal
Loan Payment,mortgage : baird
PURCHASE SP * EXODUS 90,dispersement : fb
ZORBAS GREEK AMERICAN,dispersement : fb
SUZY SHIER 7391,dispersement : fb
SERVICE CHARGE PERIOD ENDING 08/,fee : bank
KWIK TRIP 65200006528 FOND DU LA,auto : gas
DENNY'S #8632 18007336 EFFINGHAM,proj exp : meal
PURCHASE WALGREENS 2101 ASH,dispersement : fb
Jacksons Lawn Care,utility : other
PURCHASE THEDRAKERESTAURANT,proj exp : meal
LSSU,tuition : mcbreen
PURCHASE GOLDEN CHILD KITCHEN,proj exp : meal
PURCHASE GFS STORE 3195 I75,dispersement : fb
w/drawl,loan : bgm
PURCHASE GREAT WALL,dispersement : fb
Happy Hounds,dispersement : fb
DDA CASH ADVANCE,account : cash
USAA P&C EXT AUTOPAY,insurance : auto
Interest,fee : interest
PURCHASE CASEYS BURLINGTON,auto : gas
HUNTINGTON BP MERCH PMT 181113,account : bgm
FRANKS PLACE - SAULT S,dispersement : fb
INTERNET PMT TO CCD 031318,credit : voice
HUNTINGTON BP MERCH PMT 180420,account : bgm
ACH DEBIT XXXXX7400 IRS USATAXPY,tax : installment
PURCHASE CHARTER COMM,utility : internet service : cable
AIRGASS NORTH INDEPENDENCE OH,equipment : clothing
ACH CREDIT 9303665 HUNTINGTON BP,account : bgm
PURCHASE FRANKS PLACE,proj exp : meal
SUZANNESOMERSCOM,dispersement : fb
PURCHASE WAL-MART #0797,proj exp : meal
OD PROTECTION TRANSFER FROM CRED,account : personal
PURCHASE AMAZON.COM,equipment : tech reference
PURCHASE MARATHON PETRO60996,auto : gas
PURCHASE PIZZA HUT 10918,proj exp : meal
PURCHASE AMAZON.COM*M22KV93D0,equipment : tech reference
PSN*CITY OF SAUL UTILITY PA,utility : water
MEIJER STORE #293 SAULT SAINTE M,dispersement : fb
check,account : bgm
1668 WINERY,dispersement : fb
MCDONALD'S F5353,dispersement : fb
1668 WINERY SAULT SAINTE MI,dispersement : fb
NATIONAL OFFICE PRODUCTS SAULTSA,equipment : office supplies
ONLINE TRANSFER TO XXXXX5176,account : tax
USAA.COM PAY EXT LIFE,insurance : life : fb
HAMPTON INN MCCOMB MCCOMB MS,proj exp : lodging
BIGGBY COFFEE #351 SAULT SAINTE ,proj exp : meal
