payee_pattern,allocate_account
Mi. Dept. of Treasury,tax : state
LITTLE CAESARS,salary : fbreen
JO-ANN STORE #2,charity : church
INTEREST ,bank : interest
International Womens Volleyball,salary : fbreen
PARKER ACE HARDWARE SAULT SAINTE,proj exp : field equipment
Langendorf & Associates,prof serv : accounting
PETALS ON ASHMU,salary : fbreen
PAYPAL *WILSONB,salary : fbreen
GMF Lease WU GMFLeas,auto : lease
MARATHON PETRO111070 CLARE MI ,proj exp : gas
Joey Brairil,salary : fbreen
BIRCH COMMUNICTN TELECOM SV,telecom : landline
CRACKER BARREL #538 BAY C BAY CI,proj exp : meal
TRACTOR S 4646 75,equipment : field
KC 649,charity : kofc
BELLA LIQUOR AND WINE,salary : fbreen
LOVE S TRAVEL 00095513 ANGOLA IN,proj exp : gas
HUNTINGTON BAN/511 ASHMUN SAULT ,account : cash
ROAD RANGER #132 CHAMPAIGN IL ,proj exp : gas
MEIJER # 293,salary : fbreen
BIGGBY COFFEE #351,proj exp : meal
Harland Clarke Check,fee : bank
Smith and Company,salary : fbreen
Rebate,refund
BP#5986252HAPPY,auto : gas
SUBWAY # 34078 SAULT STE MAR CD ,proj exp : meal
Sundial Resort,salary : fbreen
Dale Hoornstra,salary : fbreen
MARATHON PETRO261354 SAULT STE. ,proj exp : gas
HILLSDALE COLLE,salary : fbreen
MOC S -DU-LOCK,salary : fbreen
John McCullough,salary : fbreen
PAK N SHIP XPRE,proj exp : shipping
CHURCH MILITANT,salary : fbreen
CITY OF SAULT ST MARIE SAULT SAI,utility : water
SUBWAY 00166157 MADISON FL ,proj exp : meal
Frank Breen ,salary : fbreen
,refund
INT*IN *GOODWILL INDUS,salary : fbreen
PAYPAL *GUNDRYM,salary : fbreen
D AND D GROCERIES14002,proj exp : meal
Lucy DeWildt,salary : fbreen
INT*IN *GOODWIL,salary : fbreen
TAHQUAMENON FALLS BREWERY PARADI,na
RITE AID STORE1025 ASH,salary : fbreen
BALANCE TRANSFER FOR ACCT ENDING,account : cash
WAL-MART #1936,proj exp : meal
LITTLE CAESARS 1324 00,salary : fbreen
LAKE SUPERIOR ST UNVST SAULT S M,equipment : office supplies
PETEYS PUB & GR,salary : fbreen
PAYPAL *GRETCHE,salary : fbreen
PURE COUNTRY FA,salary : fbreen
Health Account,account : health
BILL ME LATER,unknown
CHECK ,account : bgm
DOLLAR TREE,salary : fbreen
adjustment,mortgage : depot : adjustment
CHRISTIAN CARE MINISTR,insurance : medical
BIG LOTS STORE,salary : fbreen
REWARD POINTS REDEMPTION ,unknown
Service Charge Period Ending 05/,fee : bank
MEIJER # 293,proj exp : meal
WALGREENS STORE,salary : fbreen
THE NEAT COMPAN,equipment : software
Teller Transfer,account : bgm
MARATHON PETRO112052 SAULT STE. ,proj exp : gas
,fee : bank
INTEREST,bank : interest
SUPER 1 FOODS 627 LAFAYETTE LA ,proj exp : meal
QOPPA SOFTWARE ATLANTA GA ,equipment : software
HUNTINGTON ATM CASH WITHDRAWAL,account : cash
SUBWAY 00158279 FENNVILLE MI ,proj exp : meal
Service Charge Period Ending 10/,fee : bank
MARATHON PETRO60996 GRAYLING MI ,proj exp : gas
DOMINO'S 1166,proj exp : meal
PAYPAL *TCM 402-935-7733 CA ,na
BLS*BALTSOFT370,equipment : software
JO-ANN STORE #2336,charity : church
AMAZON MKTPLACE,salary : fbreen
CENTRAL SAVINGS,mortgage : parnell
CATHOLIC SUPPLY OF ST L 314-6440,na
DAIRY QUEEN #13,salary : fbreen
Online Transfer From 00000041055,account : health
CHANDLER'S,salary : fbreen
RODENROTH MOTO,auto : maintenance
MOLONEYS ALLEY,salary : fbreen
DEPOSIT sale of Depot Property,mortgage : depot
JCPENNEY 2625,salary : fbreen
Amazon Services,salary : fbreen
PAYPAL *UDEMY,prof : training
GFS STORE #092,salary : fbreen
ONSTAR,telecom : onstar
CITGO FOOD MART #11 MACON GA ,proj exp : gas
Service Charge Period Ending 08/,fee : bank
escrow,mortgage : depot : escrow
PARMERS,salary : fbreen
GRAND HOTEL MACKINAC ISLA MI ,na
interest,mortgage : depot : interest
GFS STORE #0923 SAULT STE MAR MI,na
AMAZON.COM AMZN,prof : tech reference
RAISING CANE'S #53 LAFAYETTE LA ,proj exp : meal
Black Rock,account : black rock
PAYPAL *SPRINGE,salary : fbreen
PET SUPPLIES PLUS #201,salary : fbreen
SHELL Service S,auto : gas
DT *DULUTH TRAD,proj exp : clothes
Superior Insurance,insurance : gen-prof liab
GMF Lease WUGMLSEFee,auto : lease
CITGO 13224032 POST CITGO BELMON,proj exp : gas
Albert,salary : fbreen
GOLDEN SOFTWARE 303-2791021 CO ,equipment : software
HAMPTON INNS CORDELE GA ,proj exp : lodging
WAL-MART #2822 WALKER LA ,proj exp : meal
DEPOSIT,account : cash
SHELL OIL 52184700038 SAUGATUCK ,proj exp : gas
MOLONEYS ALLEY SAULT SAINTE MI ,na
HAMPTON INN & SUITES OCAL OCALA ,proj exp : lodging
CIRCLE K # 0660,auto : gas
BIG LOTS STORES,salary : fbreen
WISE OWL TECHNOLOGIES SAULT SAIN,equipment : computer
LOVE S COUNTRY00005132 MATTHEWS ,proj exp : meal
HAMPTON INN MCCOMB MCCOMB MS ,proj exp : lodging
Holy Name of Mary Parish,charity : church
Service Charge Period Ending 04/,fee : bank
PENNYS KITCHEN SAULT SAINTE MI ,proj exp : meal
MEIJER # 052,salary : fbreen
CHARTER COMMUNIC CHARTER CO,utility : internet service
Chippewa County Treasurer,tax : property
SUNOCO 0417852100 STILESVILLE IN,proj exp : gas
PAK N SHIP XPRESS SAULT SAINTE M,proj exp : shipping
Service Charge Period Ending 01/,fee : bank
MGH CENTRAL BIL,medical : general
SHELL OIL 57543704100 OKEECHOBEE,proj exp : gas
MCDONALD'S F296,proj exp : meal
HAMPTON INN & SUITES LAFAYETTE L,proj exp : lodging
Central Savings Bank,mortgage : baird
ARFSTROM PHARM00017582 906-63296,medical : prescription
EXXONMOBIL 97416531 OCALA FL ,proj exp : gas
SUNOCO 0703910,auto : gas
SUBWAY 00289603 SAULT SAINTE MI ,proj exp : meal
OnStar,telecom : onstar
MI Sec. of State,auto : registration
Amazon.com,prof : tech reference
Happy Hounds,salary : fbreen
EXPERIAN *CREDITRE 866-7511320 C,na
St. Marys Catholic School Payrol,payroll : mbreen : stmary
CENTRAL SAVINGS,fee : bank
ALLY ALLY PAYMT,auto : sierra
HelloFresh,salary : fbreen
BARISHS BARISHS,salary : fbreen
EXTENDED OVERDRAFT FEE,fee : bank
LIFETOUCHPHOTOG,salary : fbreen
Sault Fireplace & Stone,salary : fbreen
REI*SCIENCE DIRECT 888-437-4636 ,prof : tech reference
B BOUTIQUE,salary : fbreen
URBAN-OUT 119 EGRA,salary : fbreen
principle,mortgage : parnell : principle
interest,mortgage : baird : interest
RAMADA PLAZA F,salary : fbreen
Central Savings Bank,mortgage : parnell
interest,csb : loan01 : interest
TRANSFER,account : bgm debit
PAYPAL *HULU,salary : fbreen
FOUR SEASONS MK,salary : fbreen
Mary Catherine Breen,salary : fbreen
HYDRO SPRAY CAR,auto : maintenance
Wall St. Journal,salary : fbreen
HAMPTON INN,proj exp : lodging
KRIST OIL 3*,auto : gas
Michigan Right to Life,charity : rtl
"DAILY BURN, INC",salary : fbreen
PUMP N POUR #2 ALMA MI ,proj exp : gas
MARATHON PETRO203885 TOPINABEE M,proj exp : gas
JCPenney,salary : fbreen
CIRCLE K # 23988 KENTWOOD LA ,proj exp : gas
Central Savings Bank,mortgage : depot
Pat’s Lock and Key,equipment : office supplies
GREAT LAKES OPT,medical : eye
TRANSFER TO LOAN 50083 Note 3,csb : loan01
TRANSFER TO LOAN 50081 Note 1,mortgage : depot
AMAZON.COM,salary : fbreen
Michelle Breen,salary : fbreen
EXPEDIA 7267955799553 EXPEDIA.CO,na
DEPOSIT,account : bgm
Cloverland Elect WEB PMTS,utility : electric
HAMPTON INN AND SUITES 229-24112,proj exp : lodging
GATEWAY GIFTS,salary : fbreen
IPFS866-412-2429 IPFSPMTKYL,insurance : gen-prof liab
COUNTY EMMET CE,salary : fbreen
City SSM,utility : water
NON-HUNTINGTON CASH WITHDRAWAL,account : cash
DEPOSIT,account : csb
SOLO TRATTORIA,salary : fbreen
MONTHLY SERVICE FEE,fee : bank
Pete’s Appliance,salary : fbreen
HARD WOK CAFE,proj exp : meal
Frank Breen 4,salary : fbreen
TRACTOR SUPPLY,proj exp : clothes
MCDONALD'S F20385 PORTAGEVILLE M,proj exp : meal
AMAZON MKTPLACE PMTS,salary : fbreen
AmazonPrime Mem,salary : fbreen
Jacksons Lawn Care,salary : fbreen
TOTAL RELATIONSHIP SERVICE FEE,unknown
SPEEDWAY 01195 187 LIMA OH ,proj exp : gas
PARKER ACE HAR,proj exp : field equipment
late fee waiver,mortgage : parnell : fee
GREAT WALL CHINESE RES,salary : fbreen
Albert Heating and Cooling,salary : fbreen
ONSTAR DATA PLA,telecom : onstar
ARFSTROM PHARMACY415 A,medical : prescription
WAL-MART SUPERCENTER,proj exp : field equipment
LYNN AUTO PARTS - SPUR SAULT STE,proj exp : field equipment
interest,mortgage : parnell : interest
Wal-Mart Super Center1,salary : fbreen
DTE ELECTRIC CO 8004774747,utility : gas
KROGER FUEL #9404 FLINT MI ,proj exp : meal
other,mortgage : depot : other
WITHDRAWAL,account : cash
CHECK REFUND,refund
BOB EVANS REST #0401 MT VERNON I,proj exp : meal
THE MACHINE SHO,salary : fbreen
WITHDRAWAL ,account : tax
State of Michigan,auto : registration
BAILEY'S GENERA,salary : fbreen
tax escrow disbursement,mortgage : parnell : escrow
THE BUBBLE ROOM,salary : fbreen
USAA.COM PAYMNT CREDIT CRD,account : usaamc
US Treasury,tax : federal
EPICDEALSHOPCOM 8778877815 ES ,na
PAYPAL *LINKEDI,equipment : software license fee
Interest Charge on Cash Advances,fee : interest
KRIST OIL 3* SAULT SAINTE MI ,auto : gas
SQ *NORTH PERK,salary : fbreen
HAMPTON INN & SUITES BAY CITY MI,proj exp : lodging
CIRCLE K 01691 LAFAYETTE LA ,proj exp : gas
T-COON'S LAFAYETTE LA ,proj exp : meal
PARKER ACE HARDWARE,proj exp : field equipment
Playster.com,salary : fbreen
MCDONALD'S F23412 ANGOLA IN ,proj exp : meal
Central Savings Bank,csb : loan01
GFS STORE #0923,auto : gas
Keystone,sub : laboratory
SHELL OIL 12399851000 OCALA FL ,proj exp : gas
GALAXY CINEMAS7,salary : fbreen
SUNOCO 07039100,auto : gas
ADVANCE AUTO PARTS 628,proj exp : field equipment
GEOTECH ENVIRON,proj exp : field equipment
bank fee,csb : loan01 : fee
Interest Charge on Balance Trans,fee : interest
Service Charge Period Ending 06/,fee : bank
SUNOCO 0931320600 DE TOUR VILLA ,proj exp : gas
DAVID ALLEN,prof : training
KC Charities,charity : kofc
INTEREST ACCRUED INT ,bank : interest
BAILEY'S MARKET,salary : fbreen
WACKY WINGS EATERY & B,salary : fbreen
BP#8592305BADGE,auto : gas
DELTA AIR 0068624198758 BELLEVUE,na
bank fee,fee : bank
Service Charge Period Ending 03/,fee : bank
Preferred Cred PrefCredit,salary : fbreen
AMAZON MKTPLACE,prof : tech reference
HUNTER STARTER,equipment : software license fee
late fees,mortgage : depot : fee
ARS COLLECTIONS,medical : general
PAYPAL *CONDE N,salary : fbreen
KC Michigan State Council,charity : kofc
Check Printing Fee ,fee : bank
PSN*CITY OF SAUL UTILITY PA,utility : water
CHECK ,account : cash
NATIONWIDE,insurance : gen-prof liab
KC Hall 649,charity
TLF COED FLOWER,salary : fbreen
SHELL OIL 57543724207 COLQUITT G,proj exp : gas
CHURCH MILITANT.TV,salary : fbreen
WISE OWL TECHNOLOGIES,equipment : computer
PILOT 00571 Charleston MO ,proj exp : gas
principal - payoff,mortgage : depot : principle
PAYPAL *IAH,prof : license
STAPLES 00103838 LANSING MI ,equipment : office supplies
JCPENNEY 2482,salary : fbreen
BIGGBY COFFEE #351 SAULT SAINTE ,proj exp : meal
Sault Printing,proj exp : report repro
FRANKS PLACE - SAULT S SAULT SAI,proj exp : meal
FIREHOUSE SUBS #11 LAFAYETTE LA ,proj exp : meal
BIGGBY COFFEE #230,proj exp : meal
pmi escrow disbursement,mortgage : parnell : escrow
KEWADIN CASINO,salary : fbreen
WITHDRAWAL ,mortgage : parnell
HAMPTON INNS SOUTH HAVEN MI ,proj exp : lodging
WAL-MART #1540 SOUTH HAVEN MI ,proj exp : meal
Service Charge Period Ending 09/,fee : bank
SUNOCO 0703910000 BRIMLEY MI ,proj exp : gas
EXXONMOBIL 9,auto : gas
principal,mortgage : depot : principle
BEST BUY MOBIL,auto : gas
SQ *SUNN CAFE,salary : fbreen
WM SUPERCENTER #1540 SOUTH HAVEN,proj exp : meal
QUALITY INNS CORDELE GA ,proj exp : lodging
CIRCLE K 05988 TALLAHASSEE FL ,proj exp : gas
CHEVRON 0205821 LAFAYETTE LA ,proj exp : gas
COMFORT INN WARREN MI ,proj exp : lodging
Withdrawal,account : cash
Shena L. Sloboda,salary : fbreen
North Country Excavating,salary : fbreen
Soo Supervalue,salary : fbreen
OConnor,medical : general
CARE.CITRIXONLI,internet : meeting
KROGER #404 FLINT MI ,proj exp : meal
MEIJER STORE #293 SAULT SAINTE M,na
PAYPAL *TRINITY,salary : fbreen
U P TIRE,auto : maintenance
Audible US,salary : fbreen
ACH Tel-Single St Of Mich St. Of,tax : state
WITHDRAWAL ,account : bgm
"DAILY BURN, INC.",salary : fbreen
FOUR SEASONS MKT,salary : fbreen
IGNATIUS PRESS,salary : fbreen
PARKER ACE HARD,proj exp : field equipment
LSSU TICKETING & EVENT,salary : fbreen
BP#9216532TRI LAKE BP SARDIS MS ,proj exp : gas
SHELL OIL 57444744007 CRITTENDEN,proj exp : gas
Interest Charge on Purchases ,fee : interest
CONOCO - KINGSTON FOOD MA KNOXVI,proj exp : gas
tax escrow disbursement,mortgage : depot : escrow
AUTOMATIC LOAN PAY ,mortgage : baird
OnStar 888-4ONSTAR MI ,telecom : onstar
HAMPTON INN MT VERNON MOUNT VERN,proj exp : lodging
H&M CA #080 - STATION,auto : gas
CHARTER COMM 888-438-2427 MO ,utility : internet service
SHELL OIL 52156490030 MACKINAW C,proj exp : gas
Merchants Credit Guide Co.,medical : general
CORNER BAKERY 0290 MADISON MS ,proj exp : meal
GREAT WALL CHIN,salary : fbreen
UP North Nutrition,salary : fbreen
MIDWEST GEOSCIENCE GROUP 763-607,proj : training
ALPINE CHOCOLAT,salary : fbreen
WISE OWL TECHNO,equipment : computer
State of MI,tax : state
PAYPAL *ARTCURATOR 402-935-7733 ,equipment : software
KC 649,charity
Gym 906,salary : fbreen
GFS STORE #0923,salary : fbreen
APPLEBEES 99605,proj exp : meal
INTL DEBIT CARD TRANS FEES,fee : bank
Amazon.com,salary : fbreen
ATM USAGE FEES,fee : bank
HAMPTON INN GAYLORD MI ,proj exp : lodging
ST. IGNACE BIG,salary : fbreen
State of Mi UIA,tax : state
INK & TONER ALT,equipment : office supplies
HAMPTON INNS EFFINGHAM IL ,proj exp : lodging
TRACTOR-SUPPLY-CO #0644 SOUTH HA,proj exp : field equipment
FLAP JACK SHACK,proj exp : meal
late fee,mortgage : parnell : fee
Mitch Paypal Account,salary : fbreen
KRIST FOOD MART,proj exp : meal
MCDONALD'S F5353,proj exp : meal
ARFSTROM PHARMACY415 A,salary : fbreen
Joe Sbar,salary : fbreen
INTERNET TFR FRM CHECKING,account : bgm
TEXAS ROADHOUSE,proj exp : meal
ROYAL INN HOTEL WEST PALM BEA FL,proj exp : gas
IN *TIMOTHY OCONNOR MD PC903-253,medical : general
FRANKS PLACE,salary : fbreen
principle,csb : loan01 : principle
McCoullough,salary : fbreen
KC ,charity : kofc
LAKE LANSING MO,auto : gas
DEPOSIT,account : ar
LAKE SUPERIOR S,salary : fbreen
BIG BOY 0014,proj exp : meal
State of Mi,tax : state
Service Charge Period Ending 02/,fee : bank
PAK N SHIP XPRESS SAULT S MARIE ,proj exp : shipping
FUJI STEAK HOUS,proj exp : meal
D J*WALL-ST-JOU,salary : fbreen
CCMSpecialXfer SPECIALACH,insurance : medical
INT*IN *TIMOTHY,medical : general
PAYPAL *LILIGAL,salary : fbreen
principle,mortgage : baird : principle
CHICK-FIL-A #02972 CORDELE GA ,proj exp : meal
IN *TIMOTHY OCO,medical : general
HILARY'S RESTAU,salary : fbreen
Check Printing Fee,refund
WAL-MART,proj exp : field equipment
EXXONMOBIL 47915392 KAPLAN LA ,proj exp : gas
PENNYS KITCHEN,salary : fbreen
CUP OF THE DAY,proj exp : meal
PAYPAL *SKING1,salary : fbreen
Wal-Mart Super Center1,proj exp : meal
Soo Printing,proj exp : report repro
CVS/PHARMACY #,salary : fbreen
STAPLES STORE #,equipment : office supplies
BP#8524456MANCELONA FD S MANCELO,proj exp : gas
Special Olympics,charity : sp olympics
Service Charge Period Ending 07/,fee : bank
Amazon Services,prof : tech reference
PILOT Saginaw MI ,proj exp : gas
HAMPTON INN LIMA OH ,proj exp : lodging
DUNHAMS 139,proj exp : clothes
CHINA CATE,salary : fbreen
USAA P&C EXT,insurance : auto
EXXONMOBIL 48014864 CHARLESTON M,proj exp : gas
WM SUPERCENTER,proj exp : meal
PNC-Tax,account : tax
HOLIDAY STNSTORE 0262 SAULT S MA,auto : gas
DNH*GODADDY.COM,internet : hosting
BOB EVANS REST #0326 GAYLORD MI ,proj exp : meal
