keyword,gl_account_code
"405522 KRIST OIL 35 SAULT SAI MI","auto : gas"
"406449 SOO CURLERS ASSOCI ATION ","personal : dining"
"407105 MOLONEYS ALLEY SAULT SAI ","personal : dining"
"411641 PAYPAL TAIMIFUMT2 A 402 9","personal : household"
"411641 PERKINS RESTAURANT 3714 M","nv : dining"
"412259 ZORBAS GREEK AMERI CAN RE","personal : dining"
"413746 U HAUL MOVING ST G OF DRE","nv : truck rental"
"413746 U HAULANYTIME TOWI NG AND","nv : truck rental"
"416407 APPLEBEES 99605699 9600 S","personal : dining"
"416407 KRIST OIL  35 0100 0306  ","auto : gas"
"424760 PURE COUNTRY RESTA URANT ","personal : dining"
"427539 DRIFTWOOD RESTAURA NT 906","personal : dining"
"432743 1668 WINERY SAULT SAI MI ","personal : dining"
"437735 ONOXA  LLC 888 68829 FL -","personal : household"
"442733 PAT S FOODS SAULT SAI MI ","personal : groceries"
"443106 DETROIT AIPORT NEW BOSTO ","nv : air fare"
"444500 PY SAULT ST MARI E COUNSA","mhb : utility : water : 711pine"
"444500 PY SAULT ST MARI E COUNSA","mhb : utility : water : 905brown"
"444500 PY SAULT ST MARI E COUNSA","mhb : utility : water : parnell"
"444500 PY SAULT ST MARI E COUNSA","utility : water : 1108parnell"
"444500 STAX CHLOE S BR IDAL SAUL","personal : household"
"444500 WALGREENS 10405 SAULT S M","personal : household"
"449215 DD DOORDASH KFC 855 973 1","personal : dining"
"449215 EB CALL TO HOLINES S C 80","bgm : charity"
"449215 PAYPAL TAIMIFUMT2 A 402 9","personal : household"
"449215 VISTAPRINT 866 207 4 MA","personal : household"
"449215 VISTAPRINT 866 207 4 MA -","personal : household"
"451239 U P TIRE SAULT S M MI","auto : maintenance"
"455194 SERVICE PRO QUICK LUBE SA","auto : maintenance"
"463269 ORKIN LLC 002 877 620 8 G","mhb : pest control : 711pine"
"468720 JOSES MEXICAN REST AURANT","personal : dining"
"469216 CHEVRON 0072862 TOOELE UT","nv : lodging"
"469216 MACKINAC ISLAND FE RRY SA","personal : household"
"469216 SQ  BIRD S EYE OUT FITTER","personal : dining"
"469216 SQ  PETES APPLIANC ES LLC","mhb : maintenance : 711pine"
"469216 SQ ANYTIME TOWING AND RSA","nv : truck rental"
"469216 SQ BARAGA EDUCATI ONAL Cg","bgm : charity"
"469216 SQ BIRD S EYE OUT FITTERS","personal : dining"
"469216 SQ LESAINTEMICHEL LE ?? S","personal : household"
"469216 SQ PETES APPLIANC ES LLCg","mhb : maintenance : 711pine"
"469216 SQ RINGOLDE gosq com WA -","personal : household"
"470341 GALAXY CINEMAS7266 QPS SA","personal : household"
"475542 GFL  BRIMLEY BRIMLEY   MI","mhb : maintenance : disposal"
"475542 GFL BRIMLEY BRIMLEY MI","mhb : maintenance : disposal"
"475542 GFL BRIMLEY BRIMLEY MI - ","mhb : maintenance : disposal"
"475542 SUPER 8 MOTELS 989 94671 ","proj exp : lodging"
"475542 SUPER 8 MOTELS WEST BRAN ","proj exp : lodging"
"476501 CHINA CATE SAULT STE MI -","personal : dining"
"480197 AUSTIN S CIGAR LOU NGE SA","personal : dining"
"480197 PARKERS HARDWARE SAULT SA","mhb : equipment"
"480197 PARKERS HARDWARE SAULT SA","mhb : maintenance : 711pine"
"490641 A   1st CD Republi ca    ","personal : household"
"494166 HOLIDAY STATIONS 0 262 SA","auto : gas"
"494166 YESWAY 1174 EDGEMONT SD -","nv : auto : gas"
"511 ASHMUN ST SAULT ST. MAR MI","dispersement : fb"
"511 ASHMUN ST SAULT ST. MAR MI","personal : dining out"
"54817001 RITE AID 04579 SAULT ST","personal : household"
"67213601 BP#1291200EXPRESS STOP ","bank : fee"
"70634002 BIG LOTS STORES - #170 ","personal : household"
"770446 PAT'S FOODS SAULT SAI MI ","personal : groceries"
"770446 WHITETAIL CROSSING TOMAHT","nv : auto : gas"
"77827301 SQ *BIRD'S EYE OUT FITT","personal : dining"
"77827301 SQ *LESAINTEMICHEL LE ?","stmichelle : material"
"77827301 SQ *SUPERIOR COFFE E RO","personal : dining"
"81000100 TRACTOR SUPPLY #78 1 SA","personal : household"
"939 ANGULAR ST BURLINGTON IA","proj exp : meal"
"A&K Outdoor Services","mhb : maintenance : 711pine"
"A2A PMT DEBIT TERMINAL 0002 1234","mhb : pest control : 711pine"
"ACC 193102 DATE: 09-22-23 TIME: ","account : csb"
"ACC 193102 DATE: 10-02-23 TIME: ","account : csb"
"ACC 193102 DATE: 10-03-23 TIME: ","account : csb"
"ACC 193102 DATE: 10-05-23 TIME: ","account : csb"
"ACC 193102 DATE: 10-10-23 TIME: ","account : csb"
"ACC 193102 DATE: 10-16-23 TIME: ","account : csb"
"ACC 193102 DATE: 11-06-23 TIME: ","account : csb"
"ACC 193102 DATE: 11-09-23 TIME: ","account : csb"
"ACC 193102 DATE: 11-12-23 TIME: ","account : csb"
"ACC 193102 DATE: 11-15-23 TIME: ","account : csb"
"ACC 193102 DATE: 11-19-23 TIME: ","account : csb"
"ACC 193102 DATE: 11-20-23 TIME: ","account : csb"
"ACC 193102 DATE: 11-25-23 TIME: ","account : csb"
"ACC 193102 DATE: 11-30-23 TIME: ","account : csb"
"ACC 193102 DATE: 12-02-23 TIME: ","account : csb"
"ACC 193102 DATE: 12-12-23 TIME: ","account : csb"
"ACC 5567854 DATE: 09-22-23 TIME:","account : tax"
"ACC 5567854 DATE: 11-14-23 TIME:","account : tax"
"ACC 5567854 DATE: 11-16-23 TIME:","account : tax"
"ACC 5567854 DATE: 11-30-23 TIME:","account : tax"
"ACC 5567862 DATE: 10-04-23 TIME:","account : csb"
"ACH CREDIT 1259124 HUNTINGTON BP","account : bgm"
"ACH CREDIT 1732390 HUNTINGTON BP","account : bgm"
"ACH CREDIT 2646387 HUNTINGTON BP","account : bgm"
"ACH CREDIT 4548512 HUNTINGTON BP","account : bgm"
"ACH CREDIT 5981392 HUNTINGTON BP","account : bgm"
"ACH CREDIT 8262521 HUNTINGTON BP","account : bgm"
"ACH CREDIT 9303664 HUNTINGTON BP","account : bgm"
"ACH CREDIT 9303665 HUNTINGTON BP","account : bgm"
"ACH Credit Merch Pmt Huntington ","account : bgm"
"ACH Debit Usataxpymt IRS XXXXXXX","tax : federal"
"ACH DEBIT XXXXX0696 IRS USATAXPY","tax : installment"
"ACH DEBIT XXXXX2138 IRS USATAXPY","tax : installment"
"ACH DEBIT XXXXX2220 IRS USATAXPY","tax : installment"
"ACH DEBIT XXXXX3741 IRS USATAXPY","tax : installment "
"ACH DEBIT XXXXX3741 IRS USATAXPY","tax : intallment"
"ACH DEBIT XXXXX3912 IRS USATAXPY","tax : installment "
"ACH DEBIT XXXXX7400 IRS USATAXPY","tax : installment"
"ACH DEBIT XXXXX8110 IRS USATAXPY","tax : installment"
"ACH DEBIT XXXXX9692 IRS USATAXPY","tax : installment"
"ACH Tel-Single St Of Mich St. Of","tax : state"
ACH/autopayment,"asset : 711pine"
ACH/autopayment,"asset : 819helen"
ACH/autopayment,"asset : 905brown"
adjustment,"mortgage : depot : adjustment"
"ADVANCE AUTO PARTS 628","proj exp : field equipment"
"AIRBNB  HMEBT28HPY","account : csb"
"AIRBNB  HMEBT28HPY","bgm : proj exp : lodging"
"AIRBNB * HM3PBWFJXR 415-800-5959","proj exp : lodging"
"AIRBNB * HME8CB3CFN 415-800-5959","proj exp : lodging"
"AIRBNB * HMEPQRMYCW 415-800- CRE","proj exp : lodging"
"AIRBNB * HMEPQRMYCW 415-800-5959","proj exp : lodging"
"AIRBNB * HMEQ3A4TCZ 415-800-5959","proj exp : lodging"
"AIRBNB * HMJTMQXEDA 415-800-5959","proj exp : lodging"
"AIRBNB * HMMTF23NW9 415-800-5959","proj exp : lodging"
"AIRGASS NORTH INDEPENDENCE OH","equipment : clothing"
Albert,"salary : fbreen"
"Albert Heating and Cooling","salary : fbreen"
"ALLY ALLY PAYMT","auto : sierra"
"ALLY PAYMT","auto : sierra"
"ALPINE CHOCOLAT","salary : fbreen"
"AMAZON MKTPLACE","prof : tech reference"
"AMAZON MKTPLACE","salary : fbreen"
"AMAZON MKTPLACE PMTS","salary : fbreen"
"Amazon Services","prof : tech reference"
"Amazon Services","salary : fbreen"
Amazon.com,"prof : tech reference"
AMAZON.COM,"salary : fbreen"
Amazon.com,"salary : fbreen"
"AMAZON.COM AMZN","prof : tech reference"
"AMAZON.COM AMZN","salary : fbreen"
AMAZON.COM*H70MA9XX2,"personal : household"
AMAZON.COM*H79Y62XD2,"personal : household"
"AmazonPrime Mem","salary : fbreen"
"AMERICAN 0018039500543","nv : airfare"
"AMERICAN 0018309412265","nv : airfare"
"AMERICINN LODGE","proj exp : lodging"
"AMERICINN MOTEL & SUITES MENOMIN","proj exp : lodging"
"ANDERSENS CAFE JOHNSTON CITY IL","proj exp : meal"
"ANOTHER BROKEN EGG - BATO BATON ","proj exp : meal"
"ANYTIME FIT ABC CLUB FEES","salary : fbreen"
"APGO TORONTO CD","prof : license"
"APGO TORONTO CD","prof fee : license"
"APL* ITUNES.COM/BILL","dispersement : fb"
"APL* ITUNES.COM/BILL","personal : entertainment"
"APPLEBEES 839165183915","bgm : proj exp : dining"
"APPLEBEES 99605","proj exp : meal"
"ARDENE #138","dispersement : fb"
"ARDENE #138","personal : clothing"
"ARFSTROM PHARM","dispersement : fb"
"ARFSTROM PHARM","personal : groceries"
"ARFSTROM PHARM00017582 906-63296","medical : prescription"
"ARFSTROM PHARMACY415 A","medical : prescription"
"ARFSTROM PHARMACY415 A","salary : fbreen"
"ARK ENCOUNTER","dispersement : fb"
"ARK ENCOUNTER","personal : entertainment"
"ARS COLLECTIONS","medical : general"
"AT&T WIRELESS","telecom : cell"
"AT&T WIRELESS","telecom : cell phone"
"ATM USAGE FEES","bank : fee"
"ATM USAGE FEES","fee : bank"
"ATT              Payment","telecom : cell"
"ATT Payment","telecom : cell"
"ATT Payment","telecom : cell phone"
"Audible US","salary : fbreen"
"AUGUSTI*NE FORMED.ORG","dispersement : fb"
"AUGUSTI*NE FORMED.ORG","personal : spiritual"
"AUSTIN'S CIGAR LOUNGE","personal : dining"
"AUTOMATIC LOAN PAY","mortgage : 905brown"
"AUTOMATIC LOAN PAY","mortgage : payment : 819helen"
"AUTOMATIC LOAN PAY ","mortgage : baird"
"AUTOMATIC LOAN PAY - AUTOMATIC L","mhb : mortgage : 711pine"
"AUTOMATIC LOAN PAY - AUTOMATIC L","mhb : mortgage : 819helen"
"B BOUTIQUE","salary : fbreen"
"BAILEY'S GENERA","salary : fbreen"
"BAILEY'S MARKET","salary : fbreen"
balance,"begin balance"
"BALANCE TRANSFER FOR ACCT ENDING","account : cash"
"bank fee","csb : loan01 : fee"
"bank fee","fee : bank"
"BANK OF AMERI PAYMENT","account : tax"
"BARAGA LAKESIDE INN","personal : lodging"
"BARISHS BARISHS","salary : fbreen"
"BARRE COUNTRY DINER","personal : household"
"BEACON & BRIDGE MRKT28 FREDERIC ","proj exp : meal"
"BEACON BRIDG02000115","auto : gas"
"BEGGAR'S BANQUET EAST LANSING MI","proj exp : meal"
"BELLA LIQUOR AND WINE","salary : fbreen"
"BEST BUY MOBIL","auto : gas"
"BEST WESTERN/EAST LANS","proj exp : lodging"
"BIG BOY 0014","proj exp : meal"
"BIG BOY MANISTIQUE MANISTIQUE MI","proj exp : meal"
"BIG LOTS 3396 I 7","dispersement : fb"
"BIG LOTS 3396 I 7","personal : household"
"BIG LOTS STORE","salary : fbreen"
"BIG LOTS STORES","salary : fbreen"
"BIG LOTS STORES - #170","dispersement : fb"
"BIG LOTS STORES - #170","personal : household"
"BIG MUDDY'S BURLINGTON IA","proj exp : meal"
"BIGGBY COFFEE #230","proj exp : meal"
"BIGGBY COFFEE #351","dispersement : fb"
"BIGGBY COFFEE #351","personal : dining"
"BIGGBY COFFEE #351","proj exp : meal"
"BIGGBY COFFEE #351 SAULT SAINTE ","proj exp : meal"
"BIGGBY COFFEE STORE 54","bgm : proj exp : dining"
"BIGGBY COFFEE STORE 542 GAYLORD ","proj exp : meal"
"BILL ME LATER",unknown
"BIRCH COMMUNCAT INVPMT","telecom : landline"
"BIRCH COMMUNICTN TELECOM SV","telecom : landline"
"Bishop Baraga Association","charity : church"
"Black Rock","account : black rock"
BLS*BALTSOFT370,"equipment : software"
"BLUE DOG CAFE LAFAYETTE LA","proj exp : meal"
"BOB EVANS REST #0170 BOWLING GRE","proj exp : meal"
"BOB EVANS REST #0326 GAYLORD MI ","proj exp : meal"
"BOB EVANS REST #0401 MT VERNON I","proj exp : meal"
"BOURQUE'S SUPERMARK PORT BARRE L","proj exp : meal"
BP#1062100GIRI,"auto : gas"
BP#5986252HAPPY,"auto : gas"
BP#7841059HOLLY,"auto : gas"
"BP#8524456MANCELONA FD S MANCELO","proj exp : gas"
BP#8592305BADGE,"auto : gas"
"BP#8595407ONKEN BP INDIANAPOLIS ","auto : gas"
"BP#8729402RICKERS #24 PENDLETON ","proj exp : meal"
"BP#8833196RICKERS #38 INDIANAPOL","auto : gas"
"BP#8833196RICKERS #38 INDIANAPOL","proj exp : meal"
"BP#9150376BARNEYS CONV M BOWLING","auto : gas"
"BP#9216532TRI LAKE BP SARDIS MS ","proj exp : gas"
"Breen GeoScience - ","account : bgm"
"BURGER KING #11714 Q07","dispersement : fb"
"BURGER KING #11714 Q07","personal : dining"
"CAFE MOSAIC - OPELOUSA OPELOUSAS","proj exp : meal"
"CAFE VERMILIONVILLE LAFAYETTE LA","proj exp : meal"
"CALCULATED SERVICE CHARGE TYPE F","fee : bank"
"CARDINAL STUDIOS LLC","dispersement : fb"
"CARDINAL STUDIOS LLC","personal : enterainment"
CARE.CITRIXONLI,"internet : meeting"
"CASEYS #2342 3105","proj exp : meal"
"CASEYS #3534 74 MI","proj exp : meal"
"CASEYS BENTON BENTON IL","proj exp : meal"
Cash,"account : cash"
cash,"account : cash"
cash,"account : personal"
"CASH ADVANCE FEE",fee
CASHWITHDRAWAL,"account : cash"
"CATHOLIC SUPPLY OF ST L 314-6440",na
"CBS ALL ACCESS","dispersement : fb"
"CBS ALL ACCESS","personal : entertainment"
"CCMSpecialXfer SPECIALACH","insurance : medical"
"CCMSpecialXfer SPECIALACH",unknown
"CENEX PREMIER 0","internet : meeting"
"CENTRAL SAVIN PAYMENT","account : csb"
"CENTRAL SAVINGS","fee : bank"
"CENTRAL SAVINGS","mortgage : parnell"
"Central Savings Bank","csb : loan01"
"Central Savings Bank","loan : nissan"
"Central Savings Bank","loan : unsecured"
"Central Savings Bank","mortgage : baird"
"Central Savings Bank","mortgage : depot"
"Central Savings Bank","mortgage : parnell"
"Central Savings Bank - ","loan : nissan"
"Central Savings Bank - ","mortgage : parnell"
CHANDLER'S,"salary : fbreen"
"CHARTER COMM 888-438-2427 MO ","utility : internet service"
"CHARTER COMMUNIC CHARTER CO","utility : internet"
"CHARTER COMMUNIC CHARTER CO","utility : internet service"
"CHARTER COMMUNIC CHARTER CO","utility : internet service : cable"
check,"account : bgm"
"CHECK ","account : bgm"
"CHECK ","account : cash"
"Check Printing Fee",refund
"Check Printing Fee ","fee : bank"
"CHECK REFUND",refund
"CHECKING WITHDRAWAL - Checks Pai","mhb : maintenance : 905brown"
"CHEVRON 0046369 MCCOMB MS","auto : gas"
"CHEVRON 0205821 LAFAYETTE LA","auto : gas"
"CHEVRON 0205821 LAFAYETTE LA ","proj exp : gas"
"CHEVRON 0205833 PORT BARRE LA","auto : gas"
"CHEVRON 0304519 LAFAYETTE LA","auto : gas"
"CHICAGO BOOKS & JOU 800-621-2736","dispersement : fb"
"CHICAGO BOOKS & JOU 800-621-2736","personal : entertainment"
"CHICK-FIL-A #02327 LAFAYETTE LA","proj exp : meal"
"CHICK-FIL-A #02972 CORDELE GA ","proj exp : meal"
"CHINA CATE","dispersement : fb"
"CHINA CATE","personal : dining"
"CHINA CATE","salary : fbreen"
"CHINA CATE SAULT S MARIE MI","dispersement : fb"
"CHINA CATE SAULT S MARIE MI","personal : dining out"
"Chippewa County Treasurer","tax : property"
"Chippewa County Treasurer - ","mhb : tax : 711pine"
"Chippewa County Treasurer - ","mhb : tax : 819helen"
"Chippewa County Treasurer - ","mhb : tax : 905brown"
"Chippewa County Treasurer - ","mhb : tax : baird"
"CHRISTIAN CARE MINISTR","insurance : medical"
"ChristianCareMin PAID","insurance : health"
"CHURCH MILITANT","personal : household"
"CHURCH MILITANT","salary : fbreen"
"CHURCH MILITANT.TV","salary : fbreen"
"CIRCLE K # 0660","auto : gas"
"CIRCLE K # 06604","bgm : proj exp : dining"
"CIRCLE K # 06604 319-752-7133 IA","proj exp : meal"
"CIRCLE K # 06604 4","bgm : proj exp : gas"
"CIRCLE K # 21530 WINONA MS","auto : gas"
"CIRCLE K # 21530 WINONA MS","proj exp : meal"
"CIRCLE K # 23988 KENTWOOD LA ","proj exp : gas"
"CIRCLE K 01691 LAFAYETTE LA","auto : gas"
"CIRCLE K 01691 LAFAYETTE LA","proj exp : meal"
"CIRCLE K 01691 LAFAYETTE LA ","proj exp : gas"
"CIRCLE K 05988 TALLAHASSEE FL ","proj exp : gas"
"CITGO 13224032 POST CITGO BELMON","proj exp : gas"
"CITGO FOOD MART #11 MACON GA ","proj exp : gas"
"CITY OF SAULT ST MARIE SAULT SAI","utility : water"
"CITY OF SAULT STE MARI","utility : water : 1108parnell"
"City SSM","utility : water"
"City SSM - ","mhb : rental registration"
"Cloverland Elect WEB PMTS","utility : electric"
"Cloverland Elect WEB PMTS","utility : electric : 1108parnell"
"Cloverland Elect WEB PMTS 230502","mhb : utility : electric : 905brown"
"CMSVEND*BE'S VENDING GREEN BAY W","proj exp : meal"
"COMFORT INN WARREN MI ","proj exp : lodging"
"CONOCO - KINGSTON FOOD MA KNOXVI","proj exp : gas"
"CONSUMERCELLULAR WEBPAYMENT","telecom : cell phone"
"CONTINUOUS OD CHARGE - 01 DAY","fee : bank"
"CONTINUOUS OD CHARGE - 03 DAYS","fee : bank"
"CORNER BAKERY 0290 MADISON MS ","proj exp : meal"
"CORNER STORE 1729 LAFAYETTE LA","auto : gas"
"CORPORATE ACH 270845121940383 IR","tax : corporate"
"CORPORATE ACH 270845153653073 IR","tax : corporate"
"CORPORATE ACH 270870315249065 IR","tax : corporate"
"Corporate ACH State Of M Mi Uia ","tax : state"
"Corporate ACH Usataxpymt IRS 270","tax : federal"
"COUNTRY INN & STES LAC","nv : lodging"
"COUNTY EMMET CE","salary : fbreen"
"COURTYARD BY MARRIOTT LANSING MI","proj exp : lodging"
"CRACKER BARREL #139 JACKS JACKSO","proj exp : meal"
"CRACKER BARREL #156 TE","proj exp : meal"
"CRACKER BARREL #156 TERRE TERRE ","proj exp : meal"
"CRACKER BARREL #393 GAS C GAS CI","proj exp : meal"
"CRACKER BARREL #538 BAY C BAY CI","proj exp : meal"
"CRACKER BARREL #93 MT. VE MOUNT ","proj exp : meal"
"CREDIT NIKLAS WOODARD SENDER 658","mhb : income : rent : 905brown"
"CREDIT NIKLAS WOODARD SENDER 664","mhb : income : rent : 905brown"
"CREDIT NIKLAS WOODARD SENDER 668","mhb : income : rent : 905brown"
"CREDIT NIKLAS WOODARD SENDER 675","mhb : income : rent : 905brown"
"CREDIT NIKLAS WOODARD SENDER 680","mhb : income : rent : 905brown"
"CREDIT NIKLAS WOODARD SENDER 686","mhb : income : rent : 905brown"
"Credit Union ONE extransfer 2301","mhb : income : rent : 905brown"
csb,"mortgage : baird : interest"
csb,"mortgage : baird : principle"
csb,"mortgage : parnell : escrow"
csb,"mortgage : parnell : escrow : dispersement"
csb,"mortgage : parnell : escrow : surplus"
csb,"mortgage : parnell : fee"
csb,"mortgage : parnell : interest"
csb,"mortgage : parnell : principle"
"CSB Loan Payment - Interest","loan : csb : interest"
"CSB Loan Payment - Principle","loan : csb : principle"
"CSB Unsecured Loan","account : csb"
"CSB Unsecured Loan","loan : csb"
"CUP OF THE DAY","dispersement : fb"
"CUP OF THE DAY","personal : dining"
"CUP OF THE DAY","proj exp : meal"
"CUP OF THE DAY SAULT SAINT MI","proj exp : meal"
"CUSTOMIZED SERVICE 858-810-2000 ","auto : maintanence"
"CUSTOMIZED SERVICE 858-810-2000 ","auto : maintenance"
"CVS/PHARMACY #","salary : fbreen"
"CVS/PHARMACY #08282 EAST LANSING","proj exp : meal"
"D AND D GROCERIES14002","proj exp : meal"
"D J*WALL-ST-JOU","salary : fbreen"
"DAFTER LANDFILL DAFTER MI","dispersement : fb"
"DAFTER LANDFILL DAFTER MI",household
"DAILY BURN, INC","salary : fbreen"
"DAILY BURN, INC.","salary : fbreen"
"DAILY WIRE 817-8503600 TX","dispersement : fb"
"DAILY WIRE 817-8503600 TX","personal : news"
"DAIRY QUEEN #13","salary : fbreen"
"Dale Hoornstra","salary : fbreen"
"Dale Hoornstra","utility : other"
"DALE HORNSTRA BILL PAYMT 0514005","mhb : maintenance : snow removal"
"DAVID ALLEN","prof : training"
"DDA CASH ADVANCE","account : cash"
"DDA CASH ADVANCE","account : personal"
"DEBIT Cloverland Elect WEB PMTS ","mhb : utility : electric : 905brown"
"DEBIT Cloverland Elect WEB PMTS ","utility : electric : 1108parnell"
"DEBIT DTE Energy 800477474 23071","mhb : utility : gas : baird"
"DEBIT DTE Energy 800477474 23071","utility : electric : 1108parnell"
"DEBIT DTE Energy 800477474 23072","utility : electric : 1108parnell"
"DEBIT DTE Energy 800477474 23091","utility : electric : 1108parnell"
"DEBIT DTE Energy 800477474 23101","mhb : utility : gas : baird"
"DEBIT DTE Energy 800477474 23101","utility : electric : 1108parnell"
"DEBIT DTE Energy 800477474 23111","utility : electric : 1108parnell"
"DEBIT DTE Energy 800477474 23121","utility : electric : 1108parnell"
"DEBIT FEE  230712 TRANSACTIONAL ","bank : fee"
"DEBIT HARLAND CLARKE CHK ORDER 2","bank : fee"
"debit memo","account : cash"
"DEBIT MEMO - Checks Paid","bank : fee"
"DEBIT PNP BILLPAYMENT 071023EK 2","utility : water : 1108parnell"
"DEBIT PNP BILLPAYMENT 072123EK 2","utility : water : 1108parnell"
"DEBIT PNP BILLPAYMENT 081723EK 2","utility : water : 1108parnell"
"DEBIT PNP BILLPAYMENT 081723EK 2","utility : water : 905brown"
"DEBIT PNP BILLPAYMENT 091223EK 2","utility : water : 905brown"
"DEBIT PNP BILLPAYMENT 100623EK 2","utility : water : 1108parnell"
"DEBIT PNP BILLPAYMENT 110923EK 2","utility : water : 1108parnell"
"DEBIT PNP BILLPAYMENT 111523EK 2","utillity : water : 1108parnell"
"DEBIT PNP BILLPAYMENT 121623EK 2","utility : water : 1108parnell"
"DEBIT SOO FIREPLACE & BILL PAYMT","mhb : maintenance : 711pine"
"DEBIT SPECTRUM 230807 - Debit","telecom : cable"
"DEBIT SPECTRUM 230913 - Debit","telecom : cable"
"Deep Well","utility : water"
"DELTA 0068023510735","nv : air fare"
"DELTA AIR 0068624198758 BELLEVUE",na
"DENNY'S #8632 18007336 EFFINGHAM","proj exp : meal"
DEPOSIT,"account : ar"
DEPOSIT,"account : bgm"
Deposit,"account : bgm"
DEPOSIT,"account : cash"
deposit,"account : cash"
DEPOSIT,"account : csb"
DEPOSIT,"bgm : ar"
"DEPOSIT - Credit","account : bgm"
"DEPOSIT - Credit","account : cash"
"DEPOSIT - Credit","mhb : income : reimbursement"
"DEPOSIT sale of Depot Property","mortgage : depot"
"deposit to CSB","account : csb"
"DEPOSIT WIRE LESS $10 FEE CONNOR","mhb : income : rent : 819helen"
"DEPOSIT WIRE LESS 10.00 FEE/ MIT","mhb : income : rent : 905brown"
"Dept. Natural Resource - CGWP","prof : license"
"DICK'S CLOTHING&SPORTING OKEMOS ","dispersement : fb"
"DICK'S CLOTHING&SPORTING OKEMOS ","personal : clothing"
DNH*GODADDY.COM,"internet : hosting"
DNH*GODADDY.COM,"internet : website"
"DODGE STORE 6201 BLYTHEVILLE AR","auto : maintanence"
"DODGE STORE 6201 BLYTHEVILLE AR","auto : maintenance"
"DOHERTY RESTAURANT","bgm : proj exp : dining"
"DOLLAR TR 9760 S V","personal : household"
"DOLLAR TREE","dispersement : fb"
"DOLLAR TREE","personal : household"
"DOLLAR TREE","salary : fbreen"
"DOMINO'S 1166","proj exp : meal"
"Don Earl Heating - ","mhb : water heater : 711pine-02"
"DOUD'S MARKET","personal : dining"
"DR CRAIG MERCER DDS SAULT S MARI","medical : dental"
"Dr. Mercer","medical : dental"
"Dr. OConnor","medical : general"
"DRIFTER'S FAMILY RESTA","personal : dining"
"DROPBOX TZ7KBQ4GJLPC","equipment : computer"
"DT *DULUTH TRAD","proj exp : clothes"
"DT *DULUTH TRADING CO","dispersement : fb"
"DT *DULUTH TRADING CO","personal : clothing"
"DT *DULUTH TRADING CO","personal : household"
"DT *DULUTH TRADING CO 877-382-23","proj exp : clothes"
"DTE ELECTRIC CO 8004774747","utility : gas"
"DTE Energy 800477474","mhb : utility : gas : 905brown"
"DTE Energy 800477474","mhb : utility : gas : baird"
"DTE Energy 800477474","utility : electric : 1108parnell"
